Année de production;Production de biométhane annuel (MWh/an);Commune;Code INSEE EPCI;Région;Département;Coordonnées du site;Production de biométhane annuel (kWh/an);Production de biométhane annuel (GWh/an);Capacité théorique de production (GWh/an);Code INSEE Région;Code INSEE Commune;Type de site;Code INSEE Département;Date de mise en service;Code Technique du Site;EPCI;Reseau;Type de Réseau;Nom du site officiel
2021;807.1123829999999;Connantre;245100979;Grand Est;Marne;48.7383348646, 3.91196281487;807112;0.8071123829999999;16.9822;44;51165;Agricole territorial;51;2021-12-08;IR0150;CC du Sud Marnais;GRTgaz;Transport;Artaim METHACO Connantre
2019;6699.7832634;Préchacq-Navarrenx;200067288;Nouvelle-Aquitaine;Pyrénées-Atlantiques;43.2799895089, -0.705497036287;6699783;6.6997832634;8.938;75;64459;Agricole territorial;64;2018-10-22;PITPE-0002;CC du Béarn des Gaves;Teréga;Transport;Methalayou
2017;21391.427;Chagny;200006682;Bourgogne-Franche-Comté;Saône-et-Loire;46.8985800984, 4.77433585145;21391427;21.391427;28.0;27;71073;Déchets ménagers et biodéchets;71;2015-12-01;IR0051;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;GRTgaz;Transport;ECOCEA
2018;7854.156;Châteaulin;200067247;Bretagne;Finistère;48.2032973995, -4.07350636234;7854156;7.854156;21.0043;53;29026;Industriel territorial;29;2018-04-26;IR0104;CC Pleyben-Châteaulin-Porzay;GRTgaz;Transport;Centrale Biogaz de Kastellin
2018;2660.222;Fère-Champenoise;245100979;Grand Est;Marne;48.7706781866, 4.01743444039;2660222;2.660222;26.814;44;51248;Industriel territorial;51;2018-10-04;IR0105;CC du Sud Marnais;GRTgaz;Transport;LA MONTE BLANCHE
2019;21200.562;Chagny;200006682;Bourgogne-Franche-Comté;Saône-et-Loire;46.8985800984, 4.77433585145;21200562;21.200562;28.0;27;71073;Déchets ménagers et biodéchets;71;2015-12-01;IR0051;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;GRTgaz;Transport;ECOCEA
2019;44645.087;Essarts en Bocage;200071918;Pays de la Loire;Vendée;46.7806739038, -1.22925967851;44645087;44.645087;62.566;52;85084;Industriel territorial;85;2017-12-08;IR0101;CC du Pays de Saint-Fulgent - Les Essarts;GRTgaz;Transport;Bioloie
2019;16783.388;Châteaulin;200067247;Bretagne;Finistère;48.2032973995, -4.07350636234;16783388;16.783388;21.0043;53;29026;Industriel territorial;29;2018-04-26;IR0104;CC Pleyben-Châteaulin-Porzay;GRTgaz;Transport;Centrale Biogaz de Kastellin
2019;4963.29;Loudéac;200067460;Bretagne;Côtes-d'Armor;48.1740293909, -2.75097544378;4963290;4.96329;62.566;53;22136;Industriel territorial;22;2019-09-09;IR0109;CC Loudéac Communauté - Bretagne Centre;GRTgaz;Transport;Biodéac
2019;2437.392;Haraucourt-sur-Seille;245701206;Grand Est;Moselle;48.8084972349, 6.60564803108;2437392;2.437392;40.221;44;57295;Agricole autonome;57;2019-11-07;IR0110;CC du Saulnois;GRTgaz;Transport;Méthanisation Seille Environnement
2020;44040.20870199997;Essarts en Bocage;200071918;Pays de la Loire;Vendée;46.7806739038, -1.22925967851;44040208;44.04020870199997;62.566;52;85084;Industriel territorial;85;2017-12-08;IR0101;CC du Pays de Saint-Fulgent - Les Essarts;GRTgaz;Transport;Bioloie
2020;3767.74602;Azerailles;200070324;Grand Est;Meurthe-et-Moselle;48.4972745986, 6.6948706717;3767746;3.76774602;25.0264;44;54038;Agricole autonome;54;2020-11-04;IR0115;CC du Territoire de Lunéville à Baccarat;GRTgaz;Transport;Meurthenergie
2021;20973.91167400001;Étréville;200066405;Normandie;Eure;49.3795673555, 0.65533275771;20973911;20.97391167400001;31.283;28;27227;Agricole territorial;27;2018-01-31;IR0103;CC Roumois Seine;GRTgaz;Transport;VITALIGAZ
2021;19398.929555999996;Fère-Champenoise;245100979;Grand Est;Marne;48.7706781866, 4.01743444039;19398929;19.398929555999995;26.814;44;51248;Industriel territorial;51;2018-10-04;IR0105;CC du Sud Marnais;GRTgaz;Transport;LA MONTE BLANCHE
2021;34242.79033099999;Loudéac;200067460;Bretagne;Côtes-d'Armor;48.1740293909, -2.75097544378;34242790;34.242790330999995;62.566;53;22136;Industriel territorial;22;2019-09-09;IR0109;CC Loudéac Communauté - Bretagne Centre;GRTgaz;Transport;Biodéac
2021;22286.782702999983;Wissembourg;246700926;Grand Est;Bas-Rhin;49.0184562539, 7.96174575912;22286782;22.286782702999982;20.5574;44;67544;Agricole territorial;67;2020-10-19;IR0113;CC du Pays de Wissembourg;GRTgaz;Transport;SAS Biometha (Mittenbuhler SARL)
2021;14968.427996000013;Herpy-l'Arlésienne;200043156;Grand Est;Ardennes;49.5259538637, 4.18823352667;14968427;14.968427996000012;16.0884;44;08225;Agricole territorial;08;2020-10-05;IR0119;CC du Pays Rethélois;GRTgaz;Transport;Sud Ardennes Biométhane
