Année de production;Production de biométhane annuel (MWh/an);Commune;Code INSEE EPCI;Région;Département;Coordonnées du site;Production de biométhane annuel (kWh/an);Production de biométhane annuel (GWh/an);Capacité théorique de production (GWh/an);Code INSEE Région;Code INSEE Commune;Type de site;Code INSEE Département;Date de mise en service;Code Technique du Site;EPCI;Reseau;Type de Réseau;Nom du site officiel
2020;22884.848443000003;Sommerécourt;200069664;Grand Est;Haute-Marne;48.2241761343, 5.65159771886;22884848;22.884848443000003;35.752;44;52476;Agricole autonome;52;2020-02-27;IR0112;CC Meuse Rognon;GRTgaz;Transport;Mouzon Energie
2020;6493.255776;Augicourt;200036150;Bourgogne-Franche-Comté;Haute-Saône;47.7699166638, 5.89160778933;6493255;6.493255776;26.814;27;70035;Agricole autonome;70;2020-09-11;IR0117;CC des Hauts du Val de Saône;GRTgaz;Transport;Augigaz
2021;20710.441919999997;Chagny;200006682;Bourgogne-Franche-Comté;Saône-et-Loire;46.8985800984, 4.77433585145;20710441;20.710441919999997;28.0;27;71073;Déchets ménagers et biodéchets;71;2015-12-01;IR0051;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;GRTgaz;Transport;ECOCEA
2021;26276.836038000012;Nangis;247700701;Île-de-France;Seine-et-Marne;48.554637282, 3.00883892893;26276836;26.276836038000013;27.2609;11;77327;Agricole autonome;77;2019-02-05;IR0107;CC Brie Nangissienne;GRTgaz;Transport;SAS Nangis Biogaz
2021;27584.915824;Sommerécourt;200069664;Grand Est;Haute-Marne;48.2241761343, 5.65159771886;27584915;27.584915824;35.752;44;52476;Agricole autonome;52;2020-02-27;IR0112;CC Meuse Rognon;GRTgaz;Transport;Mouzon Energie
2021;45749.67898300001;Contrisson;245501184;Grand Est;Meuse;48.8030599838, 4.95587124601;45749678;45.74967898300001;44.69;44;55125;Agricole autonome;55;2020-09-14;IR0114;CC du Pays de Revigny-sur-Ornain;GRTgaz;Transport;Air Liquide (Contrisson)
2021;3461.96867;Ménévillers;246000566;Hauts-de-France;Oise;49.5212028828, 2.60416999172;3461968;3.4619686700000005;17.4291;32;60394;Agricole autonome;60;2021-10-19;IR0120;CC du Plateau Picard;GRTgaz;Transport;MVS Energie
2021;11269.297984;Feigneux;246000871;Hauts-de-France;Oise;49.2609818537, 2.91459037295;11269297;11.269297984000001;27.7078;32;60231;Agricole territorial;60;2021-08-05;IR0121;CC du Pays de Valois;GRTgaz;Transport;SAS Agri metha valois
2021;14368.294785999988;Racrange;200067502;Grand Est;Moselle;48.9251200829, 6.67898076184;14368294;14.368294785999987;35.752;44;57560;Agricole autonome;57;2021-07-15;IR0122;CA Saint-Avold Synergie;GRTgaz;Transport;Agri Metha 57
2021;2669.782372;Peyrat-de-Bellac;200071942;Nouvelle-Aquitaine;Haute-Vienne;46.1315030493, 1.02033947545;2669782;2.669782372;23.77508;75;87116;Agricole territorial;87;2021-10-01;IR0139;CC Haut Limousin en Marche;GRTgaz;Transport;BIOENERGIES 123 PEYRAT de BELLAC
2021;11992.013038000001;Connantre;245100979;Grand Est;Marne;48.7383348646, 3.91196281487;11992013;11.992013038000001;22.345;44;51165;Agricole autonome;51;2021-06-09;IR0142;CC du Sud Marnais;GRTgaz;Transport;ENJ2A
2021;3990.197511000001;Chapelle-Vallon;200070126;Grand Est;Aube;48.4345746566, 4.04213440275;3990197;3.990197511000001;12.5132;44;10082;Agricole autonome;10;2021-09-21;IR0148;CC Seine et Aube;GRTgaz;Transport;Sirec Energy
2021;64965.848175;Villeneuve-sur-Lot;200023307;Nouvelle-Aquitaine;Lot-et-Garonne;44.4251092866, 0.742526167632;64965848;64.96584817499999;107.256;75;47323;Industriel territorial;47;2015-11-01;PITPE-0001;CA du Grand Villeneuvois;Teréga;Transport;Biovilleneuvois
2020;41754.9543498;Villeneuve-sur-Lot;200023307;Nouvelle-Aquitaine;Lot-et-Garonne;44.4251092866, 0.742526167632;41754954;41.754954349799995;107.256;75;47323;Industriel territorial;47;2015-11-01;PITPE-0001;CA du Grand Villeneuvois;Teréga;Transport;Biovilleneuvois
2018;20856.451;Chagny;200006682;Bourgogne-Franche-Comté;Saône-et-Loire;46.8985800984, 4.77433585145;20856451;20.856451;28.0;27;71073;Déchets ménagers et biodéchets;71;2015-12-01;IR0051;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;GRTgaz;Transport;ECOCEA
2019;17482.245;Combrand;200040244;Nouvelle-Aquitaine;Deux-Sèvres;46.8639718192, -0.695632067582;17482245;17.482245;28.6016;75;79096;Agricole autonome;79;2018-10-18;IR0106;CA du Bocage Bressuirais;GRTgaz;Transport;Gazteam Energie
2019;3604.928;Messei;200035814;Normandie;Orne;48.7140643026, -0.539204262797;3604928;3.604928;53.628;28;61278;Agricole autonome;61;2019-11-01;IR0111;CA Flers Agglo;GRTgaz;Transport;Méthan'Agri
2020;21999.795441;Étréville;200066405;Normandie;Eure;49.3795673555, 0.65533275771;21999795;21.999795441;31.283;28;27227;Agricole territorial;27;2018-01-31;IR0103;CC Roumois Seine;GRTgaz;Transport;VITALIGAZ
2020;14280.59;Châteaulin;200067247;Bretagne;Finistère;48.2032973995, -4.07350636234;14280590;14.28059;21.0043;53;29026;Industriel territorial;29;2018-04-26;IR0104;CC Pleyben-Châteaulin-Porzay;GRTgaz;Transport;Centrale Biogaz de Kastellin
2020;21725.306;Combrand;200040244;Nouvelle-Aquitaine;Deux-Sèvres;46.8639718192, -0.695632067582;21725306;21.725306;28.6016;75;79096;Agricole autonome;79;2018-10-18;IR0106;CA du Bocage Bressuirais;GRTgaz;Transport;Gazteam Energie
2020;16290.014059000001;Nangis;247700701;Île-de-France;Seine-et-Marne;48.554637282, 3.00883892893;16290014;16.290014059;27.2609;11;77327;Agricole autonome;77;2019-02-05;IR0107;CC Brie Nangissienne;GRTgaz;Transport;SAS Nangis Biogaz
2020;31664.23875200001;Loudéac;200067460;Bretagne;Côtes-d'Armor;48.1740293909, -2.75097544378;31664238;31.664238752000006;62.566;53;22136;Industriel territorial;22;2019-09-09;IR0109;CC Loudéac Communauté - Bretagne Centre;GRTgaz;Transport;Biodéac
2020;23665.746347000004;Messei;200035814;Normandie;Orne;48.7140643026, -0.539204262797;23665746;23.665746347000002;53.628;28;61278;Agricole autonome;61;2019-11-01;IR0111;CA Flers Agglo;GRTgaz;Transport;Méthan'Agri
2020;3428.673384;Wissembourg;246700926;Grand Est;Bas-Rhin;49.0184562539, 7.96174575912;3428673;3.428673384;20.5574;44;67544;Agricole territorial;67;2020-10-19;IR0113;CC du Pays de Wissembourg;GRTgaz;Transport;SAS Biometha (Mittenbuhler SARL)
2020;8033.547807000001;Contrisson;245501184;Grand Est;Meuse;48.8030599838, 4.95587124601;8033547;8.033547807000001;44.69;44;55125;Agricole autonome;55;2020-09-14;IR0114;CC du Pays de Revigny-sur-Ornain;GRTgaz;Transport;Air Liquide (Contrisson)
2020;904.150142;Macé;200035111;Normandie;Orne;48.6476898388, 0.136870409048;904150;0.904150142;10.7256;28;61240;Agricole autonome;61;2020-11-13;IR0116;CC des Sources de l'Orne;GRTgaz;Transport;SAS LA ROCHELLE
2020;2767.4524019999994;Herpy-l'Arlésienne;200043156;Grand Est;Ardennes;49.5259538637, 4.18823352667;2767452;2.767452401999999;16.0884;44;08225;Agricole territorial;08;2020-10-05;IR0119;CC du Pays Rethélois;GRTgaz;Transport;Sud Ardennes Biométhane
2021;19256.208;Châteaulin;200067247;Bretagne;Finistère;48.2032973995, -4.07350636234;19256208;19.256208;21.0043;53;29026;Industriel territorial;29;2018-04-26;IR0104;CC Pleyben-Châteaulin-Porzay;GRTgaz;Transport;Centrale Biogaz de Kastellin
2021;9601.629961;Macé;200035111;Normandie;Orne;48.6476898388, 0.136870409048;9601629;9.601629961;10.7256;28;61240;Agricole autonome;61;2020-11-13;IR0116;CC des Sources de l'Orne;GRTgaz;Transport;SAS LA ROCHELLE
