Code_commune_INSEE,Code_postal,Coordonnees_gps
88322,88600,"48.153916254, 6.665464192"
88326,88100,"48.284721655, 7.034538139"
88327,88440,"48.307336895, 6.371926913"
88330,88260,"48.089629768, 5.983469824"
88332,88800,"48.213847771, 5.918287665"
88342,88330,"48.290957974, 6.446980219"
88346,88210,"48.419318613, 6.993019356"
88349,88230,"48.142804927, 7.037449501"
88361,88490,"48.318418852, 7.102181788"
88368,88500,"48.309259629, 6.097464926"
88369,88160,"47.895819836, 6.741398583"
88370,88270,"48.219928524, 6.109189829"
88371,88220,"48.056379353, 6.514111599"
88373,88110,"48.506250141, 7.109310888"
88378,88450,"48.286861537, 6.307806896"
88380,88640,"48.118747006, 6.742157445"
88382,88500,"48.284209225, 6.063086744"
88386,88100,"48.263613618, 7.009482323"
88389,88500,"48.344899765, 5.979301002"
88409,88120,"48.024374616, 6.65262484"
88412,88700,"48.355406557, 6.749068899"
88436,88210,"48.378495423, 7.087632664"
88440,88170,"48.261411361, 5.843849527"
88443,88300,"48.243715607, 5.667963655"
88445,88580,"48.242317212, 6.949706908"
88449,88130,"48.354995543, 6.21816632"
88456,88320,"48.098198103, 5.890953422"
88462,88120,"48.030305271, 6.684530911"
88462,88120,"48.030305271, 6.684530911"
88464,88460,"48.108081862, 6.674976597"
88465,88150,"48.252126542, 6.423617381"
88472,88260,"48.152500117, 6.012452472"
88473,88320,"48.045775986, 5.894454344"
88475,88320,"48.096188088, 5.726183655"
88476,88500,"48.326756679, 5.984098327"
88486,88120,"48.018534035, 6.723922951"
88499,88270,"48.259686438, 6.171705038"
88508,88270,"48.170368524, 6.212429627"
88513,88450,"48.330460682, 6.328475366"
88525,88500,"48.286922095, 6.172080312"
88530,88220,"48.038655421, 6.382216273"
89009,89200,"47.55241425, 3.870683717"
89039,89700,"47.803370501, 3.885686311"
89051,89500,"48.109191372, 3.389261706"
89054,89150,"48.227688272, 3.124682388"
89055,89210,"48.000450395, 3.618183161"
89064,89310,"47.698675983, 4.045324322"
89072,89220,"47.756284735, 2.978728685"
89073,89350,"47.780038945, 3.077209547"
89077,89290,"47.751197583, 3.601734366"
89086,89120,"47.872404876, 3.121924414"
89086,89120,"47.872404876, 3.121924414"
89086,89120,"47.872404876, 3.121924414"
89086,89120,"47.872404876, 3.121924414"
89087,89160,"47.767299525, 4.195384665"
89089,89630,"47.385609489, 3.884444367"
89091,89660,"47.523409592, 3.638273056"
89093,89340,"48.309873091, 3.100724767"
89111,89190,"48.229168102, 3.457171276"
89116,89500,"48.135173725, 3.188185393"
89125,89560,"47.600127941, 3.501035932"
89141,89440,"47.593444777, 3.982077083"
89155,89290,"47.722128561, 3.60283481"
89159,89200,"47.528769475, 3.913979897"
89160,89510,"48.136687998, 3.275848028"
89162,89140,"48.26855397, 3.259845097"
89163,89110,"47.887287378, 3.240220776"
89168,89800,"47.816641905, 3.859904589"
89169,89360,"47.961258779, 3.88397401"
89175,89800,"47.843049259, 3.814586924"
89177,89660,"47.62118421, 3.60239494"
89180,89150,"48.175002201, 3.14704526"
89183,89310,"47.762802114, 3.99389485"
89189,89140,"48.287110923, 3.250092521"
89196,89110,"47.904349002, 3.431627371"
89196,89113,"47.904349002, 3.431627371"
89196,89113,"47.904349002, 3.431627371"
89202,89290,"47.711975829, 3.690155522"
89206,89300,"48.009028729, 3.410057888"
89212,89290,"47.717268409, 3.570713018"
89219,89570,"48.064017438, 3.810190598"
89230,89300,"47.997386427, 3.440506769"
89233,89270,"47.63692041, 3.764317565"
89246,89440,"47.625202215, 3.984549344"
89254,89130,"47.692510235, 3.180956897"
89257,89400,"47.975082629, 3.531201737"
89259,89310,"47.738966987, 3.93895456"
89274,89100,"48.221087112, 3.206290867"
89290,89310,"47.702528202, 4.083632598"
89302,89140,"48.342894236, 3.303346716"
89303,89310,"47.764029085, 3.891042699"
89310,89260,"48.284072883, 3.454171599"
89312,89440,"47.593152282, 3.826865382"
89341,89800,"47.730783526, 3.762559194"
89353,89330,"48.026295817, 3.171788711"
89359,89190,"48.329644912, 3.498543831"
89361,89110,"47.833577536, 3.36218755"
89365,89220,"47.689436584, 3.001881856"
89368,89520,"47.639135951, 3.204626945"
89370,89150,"48.181766858, 3.099348349"
89375,89420,"47.575374417, 4.1222007"
89380,89150,"48.076132199, 3.083462457"
89383,89560,"47.631424869, 3.361675964"
89385,89160,"47.80124939, 4.309369691"
89387,89100,"48.195731879, 3.297685687"
89388,89116,"47.935990707, 3.239129667"
89391,89140,"48.345533195, 3.251082373"
89392,89200,"47.54046088, 3.800099362"
89404,89100,"48.165279795, 3.197704472"
89407,89430,"47.844919681, 4.087014252"
89411,89190,"48.176302053, 3.467794918"
89411,89320,"48.176302053, 3.467794918"
89413,89430,"47.899983889, 4.114781363"
89414,89260,"48.298364435, 3.379984703"
89414,89260,"48.298364435, 3.379984703"
89415,89200,"47.571053824, 3.917033727"
89419,89130,"47.73375116, 3.293672173"
89436,89210,"48.066348013, 3.677773924"
89437,89230,"47.89792344, 3.692599661"
89439,89600,"47.955294698, 3.696584394"
89445,89700,"47.873277846, 3.881658492"
89456,89140,"48.295789148, 3.169067823"
89460,89340,"48.335966866, 3.056226749"
89467,89140,"48.268375744, 3.07165712"
89469,89260,"48.352487681, 3.410488999"
89469,89260,"48.352487681, 3.410488999"
89471,89320,"48.197895391, 3.403496883"
89474,89360,"47.942682258, 3.824904983"
90005,90200,"47.728971306, 6.78386314"
90006,90200,"47.750406571, 6.779095967"
90009,90500,"47.486617731, 6.925251681"
90016,90110,"47.705701013, 6.948363762"
90020,90800,"47.617978932, 6.788852555"
90024,90100,"47.582005305, 7.070979024"
90034,90160,"47.655468333, 6.907889094"
90035,90400,"47.58489849, 6.836278948"
90048,90340,"47.620900836, 6.956402862"
90051,90140,"47.563712633, 6.955930841"
90055,90100,"47.571346658, 6.994915276"
90058,90360,"47.713903952, 7.016216276"
90063,90100,"47.48636168, 6.972848126"
90068,90400,"47.592001033, 6.906392267"
90072,90120,"47.543218002, 6.938161879"
90085,90200,"47.768933131, 6.878689174"
90088,90200,"47.734273531, 6.862615445"
90095,90100,"47.561268549, 7.080919049"
90096,90100,"47.519940229, 6.980628944"
90099,90300,"47.671051373, 6.848821649"
90101,90100,"47.574936696, 7.018288039"
90102,90200,"47.753668105, 6.852469922"
90105,90100,"47.455742924, 6.988081519"
91016,91670,"48.309573391, 2.005568775"
91047,91590,"48.495262414, 2.381133504"
91075,91150,"48.372187518, 2.243716575"
91081,91870,"48.485166752, 2.091530889"
91085,91790,"48.550090338, 2.212972884"
91099,91820,"48.436532992, 2.395546719"
91114,91800,"48.696482514, 2.503772936"
91129,91590,"48.486172978, 2.310667669"
91161,91380,"48.707458941, 2.311573611"
91198,91590,"48.455962627, 2.326990265"
91215,91860,"48.687739685, 2.516445697"
91225,91450,"48.650022012, 2.483650956"
91249,91470,"48.620095325, 2.083033452"
91275,91940,"48.675006021, 2.1426491"
91315,91760,"48.514301911, 2.343599462"
91318,91510,"48.500973869, 2.253406735"
91338,91470,"48.646649279, 2.080778322"
91345,91160,"48.689811714, 2.30290407"
91399,91150,"48.358359622, 2.277034492"
91433,91150,"48.440625713, 2.207385974"
91473,91590,"48.449035789, 2.296459096"
91482,91470,"48.648531731, 2.035941043"
91508,91150,"48.399423569, 2.263725871"
91519,91410,"48.468244596, 1.998678079"
91533,91690,"48.35805762, 2.113633134"
91534,91400,"48.735923981, 2.166033197"
91540,91530,"48.549055433, 2.126191471"
91547,91410,"48.422589066, 1.95754312"
91549,91700,"48.641188588, 2.330441408"
91553,91250,"48.625041408, 2.492346563"
91560,91940,"48.665836914, 2.172226269"
91578,91910,"48.535680665, 2.180494001"
91589,91600,"48.68419191, 2.349018833"
91593,91530,"48.53083456, 2.088227102"
91600,91450,"48.66004425, 2.462899971"
91602,91580,"48.527330809, 2.154282993"
91613,91740,"48.382499029, 1.99087837"
91631,91480,"48.681024413, 2.562784314"
91639,91820,"48.431731467, 2.346279905"
91654,91890,"48.468573055, 2.421311702"
91665,91620,"48.661219416, 2.264997188"
92020,92320,"48.80363284, 2.288340335"
92026,92400,"48.898414495, 2.255695763"
92032,92260,"48.789655005, 2.286844555"
92035,92250,"48.906873428, 2.245228942"
92050,92000,"48.896168757, 2.207090178"
92062,92800,"48.883640381, 2.238727624"
92064,92210,"48.842563081, 2.208695657"
93033,93460,"48.861105557, 2.57585149"
93046,93190,"48.920002762, 2.535619525"
93079,93430,"48.957545912, 2.345516528"
94001,94480,"48.724658139, 2.421257167"
94033,94120,"48.851226859, 2.474030123"
94055,94490,"48.785828066, 2.539660672"
94056,94520,"48.696591847, 2.561137172"
94068,94100,"48.798824614, 2.494496787"
94069,94410,"48.818390376, 2.437334691"
94074,94460,"48.752728069, 2.461236106"
94074,94460,"48.752728069, 2.461236106"
94075,94440,"48.720848417, 2.531345894"
94078,94190,"48.741877726, 2.449089194"
95002,95450,"49.085390681, 1.974876453"
95012,95510,"49.110115197, 1.649566256"
95024,95420,"49.095189656, 1.796970834"
95028,95570,"49.06037642, 2.350739674"
95042,95560,"49.058629716, 2.302373577"
95055,95270,"49.092655257, 2.469562727"
95056,95270,"49.092228842, 2.371378479"
95078,95650,"49.083308253, 2.032280181"
95127,95000,"49.039967587, 2.051139021"
95139,95420,"49.184136588, 1.728270643"
95142,95750,"49.157814702, 1.930801042"
95144,95190,"49.064897361, 2.462793667"
95166,95420,"49.131528413, 1.84893942"
95199,95330,"49.030025383, 2.323249469"
95229,95460,"49.038584108, 2.362267931"
95254,95830,"49.123173928, 1.993248998"
95277,95500,"48.986294753, 2.457534399"
95288,95410,"48.985398076, 2.350437036"
95295,95450,"49.115481312, 1.856715992"
95298,95640,"49.174968669, 2.036994982"
95309,95420,"49.142472662, 1.762560638"
95323,95280,"49.010991384, 2.033483228"
95352,95270,"49.115413934, 2.440757943"
95353,95560,"49.083860628, 2.311957058"
95379,95420,"49.111179951, 1.783647016"
95392,95630,"49.077094583, 2.213411713"
95394,95540,"49.05496059, 2.174289713"
95395,95720,"49.053747992, 2.39193391"
95429,95770,"49.170217987, 1.685467824"
95445,95590,"49.090424616, 2.276806471"
95500,95300,"49.051577748, 2.094574042"
95527,95700,"49.006657374, 2.513698714"
95585,95200,"48.990236727, 2.381117319"
95604,95470,"49.106233421, 2.544084915"
95651,95510,"49.06207605, 1.707122338"
95658,95450,"49.080112515, 1.930112816"
95682,95720,"49.074551975, 2.386594087"
97101,97139,"16.272803162, -61.50181572"
97110,97127,"16.309262679, -61.053906265"
97120,97110,"16.236440952, -61.536862242"
97125,97118,"16.272954641, -61.281131388"
97206,97223,"14.488952175, -61.020781601"
97209,97234,"14.6405164, -61.068938362"
97234,97222,"14.675724872, -61.146704395"
97306,97360,"4.991230246, -53.645462427"
97311,97320,"4.947836087, -53.978023972"
97352,97314,"3.913802347, -53.398480389"
97353,97370,"2.967428567, -53.758237404"
97357,97340,"4.389246127, -54.186330304"
97358,97312,"4.529289206, -53.100581399"
97360,97317,"4.830256463, -54.269342801"
97362,97316,"4.042968321, -54.035086566"
97403,97414,"-21.204038195, 55.492359292"
97405,97429,"-21.339620557, 55.568851128"
97407,97420,"-20.944125682, 55.304499605"
97407,97420,"-20.944125682, 55.304499605"
97409,97440,"-20.963355482, 55.642351104"
97410,97437,"-21.091842698, 55.649276452"
97411,97400,"-20.933029099, 55.446977555"
97411,97417,"-20.933029099, 55.446977555"
97415,97434,"-21.044520611, 55.322330771"
97415,97435,"-21.044520611, 55.322330771"
97416,97410,"-21.312265663, 55.49381116"
97420,97441,"-20.945801093, 55.593086604"
97422,97430,"-21.223167157, 55.558552873"
97422,97430,"-21.223167157, 55.558552873"
97422,97430,"-21.223167157, 55.558552873"
97424,97413,"-21.143838284, 55.458799844"
97603,97660,"-12.934333691, 45.169235716"
97604,97620,"-12.924149701, 45.098530658"
97611,97600,"-12.790231903, 45.194781407"
97611,97605,"-12.790231903, 45.194781407"
97617,97680,"-12.782686007, 45.13457636"
98612,98620,"-14.270411199, -178.155263035"
98713,98785,
98716,98787,
98719,98755,
98719,98792,
98719,98792,
98720,98790,
98720,98790,
98720,98790,
98720,98790,
98722,98705,
98722,98706,
98723,98741,
98723,98749,
98723,98796,
98724,98731,
98726,98769,
98726,98790,
98726,98790,
98726,98790,
98726,98790,
98729,98728,
98729,98729,
98729,98729,
98729,98729,
98729,98729,
98729,98729,
98731,98742,
98731,98796,
98732,98788,
98740,98776,
98740,98790,
98742,98780,
98743,98752,
98743,98752,
98744,98753,
98745,98733,
98745,98733,
98745,98734,
98746,98743,
98746,98743,
98748,98723,
98750,98735,
98752,98726,
98753,98754,
98756,98747,
98802,98812,
98805,98836,
98807,98815,
98809,98832,
98817,98810,
98824,98824,
98825,98825,
98828,98882,
98830,98831,
1014,1100,"46.283607621, 5.690755574"
1036,1260,"45.918185011, 5.656884824"
1036,1260,"45.918185011, 5.656884824"
1036,1260,"45.918185011, 5.656884824"
1036,1260,"45.918185011, 5.656884824"
1042,1290,"46.219516565, 4.846226251"
1054,1800,"45.886247155, 5.143599073"
1061,1300,"45.713937941, 5.689263883"
1062,1360,"45.86942733, 5.101495053"
1063,1460,"46.168166789, 5.546506151"
1065,1310,"46.210586509, 5.145274303"
1078,1630,"46.176874001, 5.971497204"
1095,1250,"46.283759087, 5.426610623"
1103,1170,"46.283052925, 6.047291131"
1104,1410,"46.222560403, 5.872426209"
1129,1320,"45.966451737, 5.195121184"
1130,1340,"46.324861585, 5.18476155"
1133,1350,"45.782891957, 5.765321336"
1138,1350,"45.856261299, 5.783896526"
1143,1220,"46.37578263, 6.115899041"
1148,1590,"46.313828684, 5.641766262"
1150,1250,"46.219911371, 5.368203702"
1151,1160,"46.067401882, 5.292863665"
1153,1170,"46.316213201, 6.019973941"
1157,1480,"46.02127524, 4.76219161"
1163,1340,"46.37851841, 5.184539825"
1165,1090,"46.073642487, 4.812560271"
1179,1290,"46.263562027, 4.846595964"
1181,1100,"46.226480597, 5.612552487"
1184,1250,"46.161413177, 5.429657892"
1185,1110,"45.939605942, 5.583780117"
1187,1260,"46.047457905, 5.687540901"
1188,1140,"46.186478333, 4.888314493"
1189,1200,"46.049881793, 5.759597323"
1195,1250,"46.214830635, 5.312466653"
1196,1340,"46.36571091, 5.114295085"
1198,1800,"45.950086711, 5.102600154"
1202,1150,"45.891820194, 5.329446323"
1219,1680,"45.810512662, 5.523048258"
1227,1300,"45.778861375, 5.722906834"
1241,1370,"46.245164982, 5.336325687"
1246,1660,"46.242427918, 5.047836407"
1250,1600,"45.976356834, 4.810746584"
1267,1460,"46.183432397, 5.514556814"
1275,1700,"45.818849625, 4.930893467"
1279,1230,"45.965268733, 5.471426786"
1282,1430,"46.067320468, 5.556794597"
1286,1300,"45.731042721, 5.74554129"
1289,1960,"46.171445721, 5.217695172"
1294,1300,"45.676372165, 5.679913666"
1296,1270,"46.38527423, 5.274506777"
1299,1330,"46.022890163, 5.089040398"
1314,1160,"46.020155822, 5.284298471"
1321,1250,"46.16166052, 5.335646174"
1342,1120,"45.896004701, 5.049282497"
1346,1340,"46.307401075, 5.058557969"
1347,1600,"45.956574243, 4.777830037"
1358,1300,"45.770985934, 5.617843193"
1370,1750,"46.305955379, 4.840156546"
1373,1430,"46.136010859, 5.571551452"
1374,1160,"46.106037536, 5.32566619"
1375,1310,"46.291122506, 5.122470045"
1378,1800,"45.819991522, 5.170225884"
1379,1500,"45.953056847, 5.27042503"
1380,1560,"46.452669456, 5.17552541"
1383,1240,"46.09554189, 5.127602048"
1385,1310,"46.184238339, 5.167708731"
1388,1560,"46.461440157, 5.066523976"
1389,1990,"46.061773631, 4.900835837"
1392,1580,"46.264289324, 5.585536911"
1397,1220,"46.312789714, 6.110162402"
1410,1580,"46.224174368, 5.50662267"
1410,1580,"46.224174368, 5.50662267"
1424,1390,"45.874577226, 4.964145309"
1433,1560,"46.484922126, 5.105684134"
1441,1430,"46.085226859, 5.549465493"
1448,1200,"46.095438878, 5.7578721"
1453,1260,"45.916294208, 5.735432914"
1453,1260,"45.916294208, 5.735432914"
1453,1260,"45.916294208, 5.735432914"
1453,1260,"45.916294208, 5.735432914"
1457,1540,"46.216716077, 4.997308805"
2006,2110,"49.930322863, 3.511399522"
2010,2320,"49.46254392, 3.453354876"
2018,2320,"49.516096173, 3.453032228"
2027,2270,"49.680564098, 3.554556194"
2031,2500,"49.825326551, 4.190262816"
2034,2300,"49.477827569, 3.127371805"
2047,2000,"49.647693941, 3.645155045"
2050,2170,"50.039756081, 3.749280061"
2053,2330,"49.007940641, 3.616555648"
2056,2300,"49.687873482, 3.131935625"
2059,2800,"49.648276469, 3.338127887"
2065,2420,"49.959346714, 3.23015235"
2071,2290,"49.411377922, 3.149880705"
2075,2240,"49.778621574, 3.372640357"
2080,2870,"49.592419464, 3.577165472"
2081,2300,"49.629077416, 3.140744432"
2083,2130,"49.130704921, 3.491652186"
2085,2400,"49.104822187, 3.40829274"
2090,2210,"49.22143232, 3.298949745"
2091,2160,"49.336973064, 3.671446859"
2097,2350,"49.626439946, 3.956108855"
2110,2220,"49.348518224, 3.536763117"
2112,2110,"49.980556024, 3.394377197"
2123,2240,"49.722999325, 3.397153709"
2129,2220,"49.261914887, 3.568519675"
2130,2500,"49.866351037, 4.09342038"
2132,2870,"49.579101939, 3.496606176"
2133,2350,"49.646348774, 3.903113266"
2137,2810,"49.076557021, 3.250333474"
2143,2420,"50.000988906, 3.24317682"
2145,2300,"49.637686756, 3.172916368"
2149,2240,"49.766172395, 3.32359533"
2151,2870,"49.577784884, 3.5462474"
2152,2220,"49.324498852, 3.517425473"
2156,2270,"49.670262121, 3.644556987"
2159,2670,"49.54391254, 3.261593233"
2163,2310,"48.987508694, 3.292271602"
2166,2400,"49.089938422, 3.50886325"
2171,2160,"49.396446073, 3.789258777"
2174,2000,"49.479022495, 3.518689564"
2184,2270,"49.761675335, 3.582821218"
2187,2400,"49.034780078, 3.434013377"
2190,2880,"49.402926304, 3.438765509"
2193,2130,"49.164572732, 3.604740104"
2196,2000,"49.552417519, 3.565677453"
2203,2210,"49.163369393, 3.435507258"
2224,2220,"49.348384296, 3.5768017"
2230,2220,"49.333575313, 3.484188487"
2232,2600,"49.207904747, 2.985121226"
2239,2650,"49.042961449, 3.511334023"
2244,2120,"49.93134733, 3.753671941"
2245,2880,"49.40881309, 3.322618968"
2249,2220,"49.290068731, 3.48799277"
2255,2220,"49.38382226, 3.572113893"
2260,2800,"49.666963247, 3.401269705"
2267,2600,"49.329295145, 3.21647485"
2268,2310,"49.015963511, 3.27351264"
2269,2450,"49.965309735, 3.703572362"
2274,2350,"49.678280612, 3.883051636"
2280,2400,"49.104891041, 3.450978187"
2291,2420,"49.970790714, 3.280790847"
2297,2400,"49.082286172, 3.348074912"
2303,2100,"49.871090562, 3.252566688"
2307,2460,"49.176033589, 3.142644717"
2316,2600,"49.265998549, 3.159612081"
2319,2110,"49.901646871, 3.396852293"
2320,2680,"49.807747973, 3.212506387"
2328,2650,"49.045148479, 3.485040307"
2330,2760,"49.854141837, 3.228575101"
2338,2270,"49.68161995, 3.721338383"
2341,2140,"49.815256074, 3.871216747"
2345,2440,"49.739058075, 3.282486659"
2346,2350,"49.610347822, 3.768198423"
2350,2350,"49.678363622, 3.851785989"
2359,2680,"49.81014386, 3.274594323"
2363,2300,"49.512904264, 3.261070554"
2368,2600,"49.286927595, 3.031830225"
2374,2420,"49.911371209, 3.27716941"
2375,2810,"49.108824183, 3.234972253"
2378,2500,"49.883870416, 4.042664303"
2382,2760,"49.861136661, 3.202266631"
2384,2140,"49.785837538, 3.847689224"
2388,2360,"49.785933284, 4.135324918"
2391,2140,"49.812515074, 4.067283497"
2397,2480,"49.717346112, 3.235681354"
2398,2880,"49.448491805, 3.31531019"
2399,2190,"49.447022654, 3.891841259"
2402,2590,"49.829470974, 3.074060636"
2404,2140,"49.843975827, 3.993525759"
2413,2860,"49.502634929, 3.587938927"
2416,2140,"49.843248141, 3.758384559"
2421,2220,"49.309603214, 3.500318823"
2426,2420,"49.934905429, 3.311881328"
2429,2860,"49.487595012, 3.62219108"
2432,2220,"49.323482784, 3.555846405"
2439,2160,"49.355509724, 3.653403263"
2439,2160,"49.355509724, 3.653403263"
2442,2130,"49.241110951, 3.525182829"
2445,2500,"49.927526828, 3.959425162"
2448,2350,"49.651648281, 3.836827166"
2458,2330,"48.905402633, 3.506167879"
2458,2540,"48.905402633, 3.506167879"
2465,2810,"49.052798872, 3.222888181"
2484,2650,"49.063345468, 3.511155118"
2495,2500,"49.964398994, 4.051613614"
2502,2340,"49.682535369, 4.000656525"
2510,2330,"49.027764666, 3.552059893"
2521,2310,"49.027138689, 3.195561016"
2532,2610,"49.750649852, 3.351124587"
2537,2880,"49.433709684, 3.448175008"
2544,2500,"49.929591708, 4.04023494"
2564,2200,"49.332192555, 3.334169702"
2569,2450,"50.023259497, 3.653031318"
2570,2480,"49.73003112, 3.145792647"
2571,2100,"49.880775891, 3.297904005"
2573,2860,"49.504581954, 3.704594862"
2575,2390,"49.826914428, 3.52908035"
2577,2370,"49.430500353, 3.565137785"
2586,2360,"49.744216822, 4.160683927"
2596,2310,"48.954478155, 3.286775662"
2604,2480,"49.756233204, 3.103642764"
2613,2160,"49.417879837, 3.820234225"
2619,2320,"49.548612854, 3.418121103"
2621,2860,"49.514560654, 3.625197244"
2629,2120,"49.847148784, 3.664076751"
2642,2360,"49.740903499, 4.20931356"
2644,2600,"49.318780841, 3.003765402"
2649,2210,"49.14521147, 3.389110046"
2653,2310,"48.984734581, 3.33449318"
2658,2590,"49.811956416, 3.181682522"
2661,2000,"49.511855885, 3.538030237"
2662,2210,"49.198064599, 3.297584573"
2670,2260,"49.894624407, 3.825284117"
2671,2300,"49.510099258, 3.188169363"
2679,2810,"49.118864858, 3.214912367"
2684,2830,"49.926014996, 4.152913587"
2685,2410,"49.597139141, 3.438672978"
2686,2300,"49.545376745, 3.202761385"
2694,2640,"49.746174524, 3.182245974"
2702,2590,"49.834323991, 3.197064573"
2706,2200,"49.337937925, 3.362182358"
2717,2240,"49.764660561, 3.423656611"
2724,2470,"49.135745168, 3.292411574"
2726,2480,"49.728510267, 3.118473135"
2729,2600,"49.32198252, 3.123032313"
2736,2290,"49.440183685, 3.231988167"
2738,2700,"49.656818136, 3.299606912"
2738,2700,"49.656818136, 3.299606912"
2744,2810,"49.082649786, 3.274127222"
2746,2800,"49.685606604, 3.345025241"
2748,2850,"49.091434595, 3.601837263"
2755,2000,"49.493641637, 3.557450302"
2759,2140,"49.857219862, 3.794619089"
2764,2160,"49.420812508, 3.730213707"
2769,2110,"50.010714213, 3.523380121"
2781,2400,"49.074291482, 3.422194619"
2783,2120,"49.943282969, 3.581462651"
2801,2340,"49.743699635, 3.995146653"
2804,2210,"49.300177059, 3.322039868"
2813,2240,"49.771405605, 3.504093929"
2816,2130,"49.17194041, 3.531402762"
2818,2310,"48.997440523, 3.261162889"
2819,2340,"49.713653342, 4.045162522"
2823,2140,"49.787182304, 3.792274408"
3006,3120,"46.143292065, 3.74351109"
3007,3420,"46.226666425, 2.665255145"
3015,3460,"46.645415804, 3.204592049"
3018,3500,"46.257799091, 3.276444635"
3020,3390,"46.272555304, 2.891108384"
3028,3120,"46.209405973, 3.577127884"
3030,3800,"46.081481692, 3.288851769"
3035,3130,"46.30778504, 3.907625433"
3043,3110,"46.196819487, 3.28873942"
3047,3600,"46.228029307, 2.779035156"
3049,3500,"46.299244675, 3.198543667"
3052,3170,"46.328569434, 2.713343647"
3055,3380,"46.427820641, 2.504916111"
3056,3300,"46.088450914, 3.587410555"
3057,3230,"46.659918521, 3.530096193"
3062,3140,"46.182222689, 3.164572765"
3066,3250,"46.100334912, 3.716431682"
3068,3120,"46.197821436, 3.725356483"
3069,3210,"46.462232099, 3.129386024"
3070,3440,"46.422180164, 2.951773198"
3077,3330,"46.246475047, 3.032567309"
3080,3110,"46.1076201, 3.298081608"
3085,3000,"46.55471178, 3.245709904"
3087,3320,"46.674034242, 2.896552647"
3094,3300,"46.160546322, 3.434197222"
3095,3300,"46.137529368, 3.482821444"
3105,3120,"46.226568049, 3.705063452"
3108,3330,"46.195825658, 2.945619443"
3115,3140,"46.287034886, 3.160985836"
3121,3400,"46.629902153, 3.405195464"
3122,3210,"46.51134142, 3.051478785"
3130,3360,"46.682153296, 2.776783019"
3132,3220,"46.377275294, 3.589013279"
3139,3250,"45.993756975, 3.762806236"
3143,3360,"46.656395709, 2.594862966"
3144,3130,"46.398593385, 3.768585405"
3146,3320,"46.683838177, 3.054886756"
3150,3350,"46.534565165, 2.839185546"
3162,3210,"46.579143603, 3.209827618"
3168,3360,"46.607916579, 2.653376142"
3177,3470,"46.435502574, 3.824171209"
3181,3130,"46.360740654, 3.727885139"
3188,3500,"46.289768724, 3.240044652"
3191,3390,"46.411068938, 2.903986466"
3193,3190,"46.497763791, 2.59409328"
3195,3310,"46.299447273, 2.675770609"
3197,3340,"46.466758871, 3.436954894"
3202,3210,"46.479583584, 3.118364554"
3210,3320,"46.70512838, 3.007278649"
3213,3190,"46.458374884, 2.612909244"
3228,3370,"46.496855563, 2.363148337"
3241,3160,"46.698165321, 3.105697757"
3244,3420,"46.152855264, 2.580623991"
3245,3230,"46.674246527, 3.656397185"
3251,3160,"46.62437304, 2.955747865"
3254,3500,"46.304647124, 3.305875386"
3259,3370,"46.396744057, 2.332359533"
3274,3220,"46.361336452, 3.657487574"
3277,3140,"46.285039032, 3.047720144"
3279,3410,"46.262614973, 2.516940148"
3280,3420,"46.214947327, 2.61916688"
3281,3240,"46.356313025, 3.125553941"
3290,3460,"46.63727968, 3.316073994"
3294,3140,"46.210162099, 3.189524356"
3300,3220,"46.448513399, 3.624772114"
3315,3430,"46.396267301, 2.840966961"
3315,3430,"46.396267301, 2.840966961"
3316,3460,"46.674349681, 3.250480834"
3320,3160,"46.549998686, 2.942537496"
4006,4260,"44.26188021, 6.626633132"
4008,4240,"43.962040954, 6.663525802"
4013,4200,"44.118653848, 5.958246498"
4017,4140,"44.305330708, 6.310897275"
4019,4400,"44.379016563, 6.651674481"
4023,4250,"44.325166073, 6.172891445"
4026,4250,"44.404191941, 6.194438419"
4027,4200,"44.177651942, 5.879434005"
4037,4250,"44.37433891, 6.06896198"
4039,4120,"43.844877027, 6.490135474"
4040,4380,"44.202119682, 6.131282474"
4046,4510,"44.023005032, 6.141059648"
4049,4160,"44.085162023, 5.992381899"
4053,4200,"44.095475506, 5.931054412"
4054,4270,"44.026463243, 6.224593363"
4058,5110,"44.374065284, 5.965022565"
4059,4330,"44.022015551, 6.377560932"
4061,4370,"44.172437764, 6.66168455"
4062,4530,"44.462514712, 6.696740237"
4065,4230,"44.082753583, 5.838310996"
4068,4300,"43.893280114, 5.77638145"
4072,4420,"44.130158879, 6.371340691"
4074,4000,"44.038097556, 6.268584989"
4076,4320,"43.950230255, 6.801961931"
4092,4120,"43.829829243, 6.571316881"
4096,4850,"44.387641542, 6.786576163"
4106,4700,"43.969893351, 5.88003029"
4120,4530,"44.444385669, 6.849917188"
4123,4200,"44.262816876, 5.865334108"
4124,4500,"43.766551128, 6.094529059"
4127,4600,"44.058584917, 5.952291264"
4130,4230,"44.040872354, 5.85031387"
4133,4170,"43.963722009, 6.462647043"
4135,4360,"43.838178021, 6.228174277"
4149,4310,"44.035747847, 5.90499936"
4150,5130,"44.453184157, 6.131485794"
4151,4300,"43.962462841, 5.835882579"
4152,4860,"43.806506526, 5.722192402"
4156,4700,"43.979161836, 6.025008509"
4161,4340,"44.371302704, 6.498137082"
4161,4340,"44.371302704, 6.498137082"
4161,4340,"44.371302704, 6.498137082"
4163,4150,"44.093859821, 5.540549029"
4173,4170,"43.971540112, 6.501416781"
4176,4500,"43.76430696, 6.151769775"
