Code_commune_INSEE,Code_postal,Coordonnees_gps
2323,2110,"49.925100018, 3.367762239"
2335,2800,"49.628047947, 3.426986314"
2337,2260,"49.942613598, 3.910453621"
2339,2810,"49.083044315, 3.181414017"
2340,2430,"49.823265723, 3.286136508"
2342,2260,"49.931502629, 3.929198252"
2353,2350,"49.650993508, 3.736731258"
2355,2100,"49.887187116, 3.239360764"
2358,2110,"49.951097233, 3.530642542"
2361,2120,"49.895664233, 3.624725161"
2362,2300,"49.65133013, 3.120512948"
2364,2160,"49.357312607, 3.840901247"
2370,2420,"49.966650448, 3.19015454"
2376,2120,"49.888857291, 3.523895751"
2381,2500,"49.942804665, 4.104797218"
2389,2850,"49.089323674, 3.532106607"
2390,2490,"49.928629216, 3.14704793"
2403,2120,"49.825811537, 3.604339981"
2418,2260,"49.949627733, 3.881302419"
2419,2170,"49.960381135, 3.776678255"
2425,2500,"49.857879532, 4.169626267"
2438,2600,"49.284210949, 3.219848561"
2439,2160,"49.355509724, 3.653403263"
2446,2440,"49.732230817, 3.311206247"
2451,2420,"49.936255727, 3.276193296"
2454,2190,"49.517078646, 4.000413236"
2456,2300,"49.564951136, 3.179497783"
2461,2300,"49.594384228, 3.147053499"
2470,2500,"49.866323929, 4.13399276"
2472,2820,"49.540827364, 3.797761356"
2473,2800,"49.709478847, 3.398205923"
2474,2700,"49.691944029, 3.274874462"
2483,2240,"49.791684676, 3.38750678"
2486,2350,"49.628537529, 3.784506763"
2491,2270,"49.784245669, 3.630887394"
2496,2470,"49.145972296, 3.228814357"
2497,2000,"49.538236336, 3.554174044"
2499,2000,"49.529542724, 3.512615089"
2511,2110,"49.912004001, 3.483380112"
2518,2330,"48.962881745, 3.5153661"
2525,2100,"49.875885119, 3.33376442"
2527,2290,"49.461530468, 3.190773035"
2530,2160,"49.42040219, 3.679437925"
2531,2160,"49.41243455, 3.636578979"
2535,2140,"49.776677946, 4.001545141"
2539,2420,"49.95109226, 3.259127291"
2545,2250,"49.714499279, 3.833211434"
2547,2250,"49.788415895, 3.731426487"
2548,2450,"49.983119397, 3.686519947"
2555,2310,"48.942896009, 3.333207104"
2559,2270,"49.707297768, 3.493588723"
2563,2120,"49.907819967, 3.538918361"
2565,2160,"49.393123668, 3.68229876"
2568,2600,"49.213499679, 3.13020509"
2593,2200,"49.402312425, 3.298046924"
2601,2190,"49.409153218, 4.029840002"
2606,2210,"49.238650103, 3.347902504"
2609,2860,"49.493365705, 3.740057022"
2612,2160,"49.391738152, 3.62056826"
2618,2110,"50.014126795, 3.397619103"
2625,2120,"49.902585502, 3.575082615"
2650,2260,"50.019466415, 3.973481896"
2651,2800,"49.649175807, 3.415853693"
2655,2130,"49.139269034, 3.602156577"
2657,2140,"49.806228231, 3.786510203"
2666,2360,"49.706454675, 4.13129966"
