adresse1,codePostal,codeInsee,commune,longitude,latitude,carriere,eolienne,industrie,prioriteNationale,statutSeveso,ied,etatActivite,regimeVigueur,siret,type,mise_en_demeure,name,codeNaf,adresse2,adresse3
LAMOTHE,46500,46193,MIERS,1.694589,44.844701,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,39050692100019,BOVINS,False,GAEC LAMOTHE BASSE,,,
,67700,67553,WOLSCHHEIM,7.450659,48.70775,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,38144595600018,PORCS,False,EARL SORGIUS,,ROUTE D'ALTENHEIM,
Les Flagis,18260,18259,SURY ES BOIS,2.68595,47.451492,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,78900155900010,VOLAILLES,False,BLANCHET GAEL,01,,
La Boissiere,56910,56033,CARENTOIR,-2.068738,47.820398,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,41177612300019,PORCS,False,EARL DE LA BOISSIERE,,,
LE GUERNY,22460,22001,ALLINEUC,-2.893698,48.319957,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,39121123200015,BOVINS,False,SCEA DU GUERNY,,,
QUENEQUINTEUC,22460,22001,ALLINEUC,-2.873564,48.303448,False,False,False,True,Non Seveso,True,En exploitation avec titre,Autorisation,38228998100013,PORCS,False,EARL DE KERGOULIO,01,,
LE BREUIL,22460,22149,MERLEAC,-2.912912,48.274895,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,51026338700019,BOVINS,False,GAEC BOSCHER,,,
8 bis ROUTE DE SPREY,59284,59463,PITGAM,2.333498,50.917166,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,45032637600016,VOLAILLES,False,SARL FERME BEYAERT,,,
6 HAEGUEDORN STRAETE,59284,59463,PITGAM,2.368684,50.915563,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,40521151700017,PORCS,False,EARL VANDERBEKEN,,,
,59284,59463,PITGAM,2.367973,50.923499,False,False,False,False,Non Seveso,True,En exploitation avec titre,Autorisation,48348590000011,PORCS,False,SARL DEKEISTER STERCKEMAN,,,
4 Bourdon straete Vc 17,59284,59463,PITGAM,2.363897,50.908129,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,41886061500016,PORCS,True,EARL DU BOURDON,,,
Lasbayas,87380,87146,ST GERMAIN LES BELLES,1.490533,45.576032,False,False,False,False,Non Seveso,False,En fin d'exploitation,Autorisation,35382338800015,PORCS,False,ROUX JEAN-LOUIS,01,,
ST CYR LE HAUT,81440,81139,LAUTREC,2.113021,43.708926,False,False,False,False,Non Seveso,False,En fin d'exploitation,Enregistrement,,VOLAILLES,False,EARL ST CYR GIBIER,,,
Laves,43170,43256,VENTEUGES,3.489063,44.979135,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,31631751000014,BOVINS,False,LAVES (GAEC DE),,,
Combret,43170,43256,VENTEUGES,3.470465,44.983564,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,34151403200018,PORCS,False,BLANCOU (EARL DU),,,
,32480,32345,LA ROMIEU,0.52308,43.989314,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,34192959400016,BOVINS,False,GAEC DE PARGAS,,PARGAS,
M. Philippe LADEUIX,64160,64438,OUILLON,-0.234877,43.324117,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,45241416200019,BOVINS,False,EARL LADEUIX,,"40, chemin au delà du Luy",
lieu dit Clavel,47370,47064,CAZIDEROQUE,0.93051,44.406988,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,37763845700012,BOVINS,False,EARL DE CLAVEL,,,
LES BRUYERES,22460,22068,GRACE UZEL,-2.78815,48.241724,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,85204924600014,VOLAILLES,False,SARL LE MEE YOANN ex CONNAN EVELYNE,,,
LE GRAND MONARQUE,22460,22068,GRACE UZEL,-2.810938,48.256798,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,39977910700685,PORCS,False,HENRY PHILIPPE,,,
LA PLACE A L EPINE,22460,22068,GRACE UZEL,-2.780429,48.254318,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,41140856000018,PORCS,False,SCEA LA PLACE A L EPINE,01,,
LURO René,64120,64493,ST PALAIS,-1.036135,43.303842,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,35094592900023,PORCS,False,EARL CHAUBATENIA,,quart Gibraltar,
,50440,50041,LA HAGUE,-1.87427,49.691199,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,34807666200017,BOVINS,False,RUETTE (GAEC DE LA),,La Ruette,
,50460,50041,LA HAGUE,-1.760005,49.668172,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,39245157100013,BOVINS,False,GROSMONT (GAEC DE),,Grosmont,
LANGLES Mathieu,64160,64002,ABERE,-0.173779,43.3905,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,43315197400014,PORCS,False,EARL LANGLES,01,11 chem Cassagnet,
MANATY,22540,22135,LOUARGAT,-3.324662,48.573663,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,39002891800022,BOVINS,False,EARL DU MENEZ BRE,,,
KERVOASDOUE,22540,22135,LOUARGAT,-3.326943,48.547786,False,False,False,True,Non Seveso,True,En exploitation avec titre,Autorisation,47976507500011,BOVINS,False,GAEC QUELEN,,,
KERIDRE,22540,22135,LOUARGAT,-3.33156,48.553812,False,False,False,True,Non Seveso,True,En exploitation avec titre,Autorisation,40015220300016,VOLAILLES,False,SARL VOLAILLES de  KERVOASDOUE,,,
LIZIVIDIC,22540,22135,LOUARGAT,-3.375183,48.572441,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,80350791200019,PORCS,False,EARL LIZIVIDIC,,,
KERMARIA,22540,22135,LOUARGAT,-3.384095,48.570356,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,42296427000017,PORCS,False,EARL LE BON,01,,
COAT QUIZIOU,22540,22135,LOUARGAT,-3.37638,48.541882,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,40035282900016,PORCS,False,HERVE YVON,,,
KERIDRE,22540,22135,LOUARGAT,-3.33156,48.553812,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,31261052000024,PORCS,False,EARL PORC DE KERIDRE,01,,
COAT CO NOZ,22540,22135,LOUARGAT,-3.340952,48.56053,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,34397229500012,VOLAILLES,False,GUEGAN CHRISTIANE,,,
LE ROHEU,22460,22149,MERLEAC,-2.948921,48.245863,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,81521445700013,PORCS,False,EARL HUBY SEBASTIEN,01,,
LE PENHER,22460,22260,LE QUILLIO,-2.88924,48.239356,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,50086790800013,PORCS,False,EARL JAGLIN CYRILLE,01,,
LEFFAUT,22460,22260,LE QUILLIO,-2.876765,48.259367,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,40053885600016,PORCS,False,CARREE MICHEL,01,,
COTTIER,22460,22260,LE QUILLIO,-2.909991,48.228077,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,44937253100011,VOLAILLES,False,EARL RAULT MORIN,,,
GUERDERIO,22460,22260,LE QUILLIO,-2.913218,48.227112,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,50381932800017,PORCS,False,EARL LE MAUX ANNE MARIE,,,
26 rue de l'Eglise,60310,60204,ECUVILLY,2.923707,49.646697,False,False,False,True,Non Seveso,False,En exploitation avec titre,Autorisation,40120670100013,VOLAILLES,False,EARL LACROIX FLOCH,01,,
M. Michel GABAIX,64160,64212,ESPECHEDE,-0.198536,43.31814,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,37865165700017,BOVINS,False,GAEC EDELWEISS,01,"16, rue Cabarré",
Plaine de Beauregard,41140,41132,MEHERS,1.454496,47.326578,False,False,False,False,Non Seveso,False,En fin d'exploitation,Enregistrement,,VOLAILLES,False,Maître Gérald BUISSON,,,
KERLOUAVER,22540,22354,TREGLAMUS,-3.276059,48.554278,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,31261082700015,PORCS,False,EARL DE KERLOUAVER,,,
1 PEN AR HOAT,22540,22354,TREGLAMUS,-3.250131,48.553652,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,40092457700010,PORCS,False,SCEA ANDRE,01,,
PEURDORDEL,22810,22216,PLOUGONVER,-3.379838,48.484421,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,50818900800024,VOLAILLES,False,GAEC DE GARZONVAL - multi site,,,
LE QUINQUIS,22810,22216,PLOUGONVER,-3.346343,48.498855,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,33394480900016,VOLAILLES,False,PRIGENT CHRISTIAN,01,,
RUN AN QUEROU,22810,22216,PLOUGONVER,-3.382896,48.500485,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,41837455900015,PORCS,False,SCEA DE LA BRUXERAIE,01,,
LOUSTAU Gilles,64160,64346,LOMBIA,-0.15093,43.328766,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,42410857900014,PORCS,False,EARL DOU LAT,01,chem Loustau,
LAVES - LE ROUVE,43170,43234,VENTEUGES,3.491809,44.96243,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,31631751000014,PORCS,False,GAEC DE LAVES,01,,
LES FONTAINES,22540,22164,PEDERNEC,-3.293973,48.592105,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,39152934400015,PORCS,False,EARL LES FONTAINES ex GAEC LE BLEVENNEC,,,
PORS MIN,22540,22164,PEDERNEC,-3.277556,48.587361,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,89477078300013,VOLAILLES,False,SARL DU JAUDY ex EARL DE RUDOLEN,01,,
RUBABIOU,22540,22164,PEDERNEC,-3.27164,48.586014,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,43785959800017,PORCS,False,EARL LE TROADEC,01,,
KERBASQUIOU,22540,22164,PEDERNEC,-3.229346,48.576581,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,79459590000018,PORCS,False,EARL FERME DE KERBASQUIOU,,,
Kermanach,22810,22228,PLOUNEVEZ MOEDEC,-3.494744,48.561511,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,45201879900018,PORCS,False,GUERGUIN PATRICE,,,
TREUNAFF,22810,22228,PLOUNEVEZ MOEDEC,-3.428109,48.528937,False,False,False,True,Non Seveso,False,En exploitation avec titre,Autorisation,47822635000013,BOVINS,False,EARL DES 3 COLLINES,01,,
COAT AR  POULLOU,22810,22228,PLOUNEVEZ MOEDEC,-3.432308,48.540325,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,45059027800013,BOVINS,False,THOMAS JULIEN,,,
CHE DE KERNOACH,29170,29058,FOUESNANT,-4.013442,47.889127,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,19290018100012,BOVINS,False,EPLEFPA DE QUIMPER-BREHOULOU,,BP 7,
LES HAIES,22460,22384,UZEL,-2.844235,48.271584,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,38838042000017,VOLAILLES,False,CARREE JOEL,01,,
LA VILLE AUX BOUILLIES,22460,22384,UZEL,-2.858097,48.282355,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,90984574500019,BOVINS,False,GAEC DES DEUX QUARTIERS,,,
CHEMIN DU MOULIN,64160,64208,ESCOUBES,-0.25022,43.41247,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,38274678200012,PORCS,False,SCEA BABYPORC,01,,
LA POMMERAIE,85150,85211,STE FLAIVE DES LOUPS,-1.569424,46.638481,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,41899576700013,BOVINS,False,GAEC MONTE A PEINE,,,
LA RETAUDIERE,85150,85211,STE FLAIVE DES LOUPS,-1.576979,46.60459,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,43338579600019,BOVINS,False,GAEC L'HERBOGERE,,,
CROIX EVEN,22540,22005,LOUARGAT,-3.376882,48.54745,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,80452997200023,VOLAILLES,False,MORICE HELENE ex SARL DE LA CROIX EVEN,01,,
KERREUN- TY LAE,29170,29247,ST EVARZEC,-4.0206,47.955396,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,39756481600015,VOLAILLES,False,EARL PIERRE CALVEZ,,,
Keridran,29170,29247,ST EVARZEC,-3.993522,47.97989,False,False,False,True,Non Seveso,True,En exploitation avec titre,Autorisation,34409809000014,BOVINS,False,GAEC DE KERIDRAN,,,
kerriou,29170,29247,ST EVARZEC,-4.008669,47.984118,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,77763088000014,BOVINS,False,EARL DE KERRIOU LE TREFF,,,
52 route de la chapelle du Dréau,29170,29247,ST EVARZEC,-4.005604,47.983939,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,32725491800011,PORCS,False,EARL DE COAT AN DREAU,,,
LA BREHAUDIERE,22230,22149,MERDRIGNAC,-2.908195,48.294277,False,False,False,True,Non Seveso,False,En exploitation avec titre,Autorisation,42279686200015,PORCS,False,SCEA LAINE,,,
LE GOULAN,22460,22149,MERLEAC,-2.889294,48.278475,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,42200959700028,PORCS,False,EARL SAINT YVES,,,
POULNEO,22460,22149,MERLEAC,-2.912912,48.274895,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,31261005800017,PORCS,False,GAEC POULNEHO KERDONY,,,
LE BARTAN,22460,22149,MERLEAC,-2.928166,48.2878,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,49114035600016,PORCS,False,EARL DU BARTAN,01,,
RETROUAULT,22460,22149,MERLEAC,-2.881412,48.276044,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,38452726300014,VOLAILLES,False,EARL DE L OUST,,,
KERFURY,22460,22149,MERLEAC,-2.892465,48.259117,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,38256663600017,VOLAILLES,False,EARL DE KERFURY,,,
KERBLOUX,22460,22149,MERLEAC,-2.886399,48.291504,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,42453299200015,PORCS,False,EARL DE KERBLOUX,,,
RETROUAULT,22460,22149,MERLEAC,-2.881848,48.276798,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,51158780000018,PORCS,False,SCEA RETROUAULT ex EARL,,,
LE BREUIL,22460,22149,MERLEAC,-2.912912,48.274895,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,81328838800016,BOVINS,False,SCEA LE MAUFF ex GAEC,,,
SAINT LEON,22460,22149,MERLEAC,-2.907597,48.263432,False,False,False,True,Non Seveso,True,En exploitation avec titre,Autorisation,47945633700019,PORCS,False,SCEA PORLEAC,01,,
Christophe et Gilles Marquis,64160,64262,HIGUERES SOUYE,-0.239012,43.371136,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,38434715900012,PORCS,False,SCEA MARQUIS,01,"7 impasse Yanet,",
Route du Gabas,64160,64465,RIUPEYROUS,-0.245538,43.394936,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,47815547600011,PORCS,False,EARL LE BOSQUET,01,,
,89130,89472,VILLIERS ST BENOIT,3.198206,47.763772,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,43491219200011,VOLAILLES,False,SAUVAGERE Nathalie,,Les Bergers,
LES GRANDS AULNAYS,22460,22300,ST HERVE,-2.80077,48.269108,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,40025912300018,BOVINS,False,JOUANNO JEAN PIERRE,,,
LA MOTTE D ABAS,22460,22300,ST THELO,-2.826557,48.277438,False,False,False,True,Non Seveso,True,En fin d'exploitation,Autorisation,42258956400018,VOLAILLES,False,EARL CRENN GUY,,,
CHATELUS,18270,18083,CULAN,2.371912,46.558201,False,False,False,True,Non Seveso,True,En exploitation avec titre,Autorisation,32245359800011,BOVINS,False,VERHAEGHE ERIC,01,,
GRAVE RU,22470,22214,PLOUEZEC,-2.98147,48.733274,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,51197845400011,BOVINS,False,EARL DE COAT SALIOU,,,
LOUSTAU Henri,64160,64544,UROST,-0.150712,43.333571,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,38056199300011,PORCS,False,EARL MOULAT,01,,
