Numéro d'inspection,Nom établissement,Adresse 1,Adresse 2,Adresse 3,Code postal,Commune,Régime en vigueur,Statut SEVESO,Date de dernière inspection
55002465,2 L'oiselière (GAEC),,2 L'Oiselière,,50410,VILLEBAUDON,Enregistrement,Non Seveso,
55000619,33 RUE DU BOCAGE (GAEC),,33 La Gasnerie,,50850,GER,Enregistrement,Non Seveso,
56201654,4 CANTONS DUBRON (GAEC DES ),14 RUE DE LA PLACE,,,62810,SOMBRIN,Autorisation,Non Seveso,
55000160,4 SAISONS (GAEC DES),ST MICHEL DES LOUPS,La Férrerie,,50610,JULLOUVILLE,Enregistrement,Non Seveso,
55001069,4 TEMPS (GAEC DES),,La Havardière,,50520,JUVIGNY LES VALLEES,Autorisation,Non Seveso,
6802437,ABATTOIR DE CAPDENAC SARL,ZI des taillades,rue Claude Bernard,,12700,CAPDENAC GARE,Autorisation,Non Seveso,2022-05-11
6102934,ABATTOIR DE GRENOBLE - A.B.A.G.,ZONE INDUSTRIELLE DU FONTANIL,Rue de la Louisiane,,38120,FONTANIL CORNILLON,Autorisation,Non Seveso,2022-06-21
51900456,Abattoir SABCOR,ZAC de la NAU,,,19240,ST VIANCE,Autorisation,Non Seveso,
5100379,ABATTOIR SABHIR SARL,138 RUE DE GUISE,,,2500,HIRSON,Autorisation,Non Seveso,
51100119,ABATTOIRS DE NARBONNE (S.E.A.N.),62 avenue du Général Leclerc,,,11100,NARBONNE PLAGE,Autorisation,Non Seveso,
7000449,ABATTOIRS DE VALENCIENNES,50 Rue Ernest Macarez,,,59300,VALENCIENNES,Autorisation,Non Seveso,
54800189,ABATTOIRS DU GEVAUDAN,IMPASSE DU GEANT,,,48100,ANTRENAS,Autorisation,Non Seveso,2019-11-05
56401137,ABATTOIRS DU PAYS DE SOULE,"39, avenue de Belzunce",,,64130,MAULEON LICHARRE,Autorisation,Non Seveso,
56201610,ABBAYE D'EAUCOURT DUQUESNE (SCEA DE L' ),ABBAYE D'EAUCOURT,,,62450,LE SARS,Autorisation,Non Seveso,
56200860,ABBAYE (EARL DE L'),7 GRAND RUE,HERBELLES,,62129,BELLINGHEM,Enregistrement,Non Seveso,2022-06-07
51400051,ABBAYE (SCEA DE L'),Mr DE VALPINCON,L'ABBAYE,,14260,LES MONTS D'AUNAY,Autorisation,Non Seveso,
52904037,ABGRALL BB (GAEC),COSQUER VRAS,,,29450,SIZUN,Enregistrement,Non Seveso,2016-08-18
52901329,ABGRALL Mathieu,PEN COAT MEUR,,,29400,LANDIVISIAU,Enregistrement,Non Seveso,2011-12-08
57202186,ABRAHAM MICHEL MAURICE,LA HAUTE GENDRONNIERE,,,72500,THOIRE SUR DINAN,Enregistrement,Non Seveso,
57201401,ABRIVARD CATHERINE,THAULIERE,,,72430,NOYEN SUR SARTHE,Enregistrement,Non Seveso,
55001150,ACTEA (SCEA),,La Maheudière,,50410,MONTBRAY,Enregistrement,Non Seveso,
56201788,ADAM BENOIT,,Route de  Bourbourg,,62162,VIEILLE EGLISE,Autorisation,Non Seveso,
52202172,ADAM GILLES,LA BUTAINE TRESSAINT,,,22100,LANVALLAY,Enregistrement,Non Seveso,
52200670,ADAM PIERRICK,COUAMIHAC,,,22630,LES CHAMPS GERAUX,Enregistrement,Non Seveso,
55901932,ADOU FRANCOIS,3299  R   VERTE,,,59670,WINNEZEELE,Autorisation,Non Seveso,
57202588,ADRION ERIC,LES GRANDS BOIS,,,72200,CROSMIERES,Enregistrement,Non Seveso,
55602608,AGELAP,La Touche,,,56800,PLOERMEL,Autorisation,Non Seveso,2022-01-19
54901359,AGRÉÉ MULTIPORCS (GAEC),Le Petit Seneil et Le Moulin,,,49310,MONTILLIERS,Autorisation,Non Seveso,
52500844,AGRI PORC Franche-Comté,Lieu-dit Combe Martin,,,25270,SEPTFONTAINES,Enregistrement,Non Seveso,2020-06-18
52500784,AGRI PORC Franche-Comté,,,,25560,LA RIVIERE DRUGEON,Enregistrement,Non Seveso,
52500102,AGRIPORC Franche-Comté,,,,25520,BIANS LES USIERS,Enregistrement,Non Seveso,2017-06-16
57800045,AGRO PARIS TECH,,Ferme experimentale,,78850,THIVERVAL GRIGNON,Enregistrement,Non Seveso,2021-11-04
54300664,AIRPORC,LA CHIREUZE,,,43450,SAINT-ETIENNE-SUR-BLESLE,Enregistrement,Non Seveso,2017-02-06
54300117,AIRPORC,BRESSOLES,,,43450,BLESLE,Enregistrement,Non Seveso,2016-03-25
52700565,AIRPORC,1204 ROUTE DES MONTS,THEILLEMENT,,27520,THENOUVILLE,Enregistrement,Non Seveso,
5603291,AIRPORC,Boisseuges,,,43450,ESPALEM,Enregistrement,Non Seveso,2022-07-20
53800399,AIRPORC,2037 route de Marcollin,,,38270,ST BARTHELEMY,Enregistrement,Non Seveso,2022-06-09
50100725,AIRPORC,,PRIVAGE,,1560,ST JULIEN SUR REYSSOUZE,Autorisation,Non Seveso,
51400591,AJON (GAEC D),FERAULT Eric et  Thomas,,,14310,LANDES SUR AJON,Enregistrement,Non Seveso,2020-11-24
55001318,AJP LE BOIS (EARL),,LE BOIS - NOTRE DAME DU TOUCHET,,50140,MORTAIN BOCAGE,Enregistrement,Non Seveso,
59700339,ALAGUIRISSAMY NADINE,26 rue Café,VINCENDO,,97480,ST JOSEPH,Enregistrement,Non Seveso,
50100530,ALAIN MALOD,635 Route de Mortillet,,,1300,MURS ET GELIGNIEUX,Autorisation,Non Seveso,
7209843,ALBERT EMMANUEL,La Terrasse,,,79320,MONCOUTANT-SUR-SEVRE,Enregistrement,Non Seveso,
57902409,ALBERT JEAN-NOEL,La Grande Chaponnière,MOULINS,,79700,MAULEON,Enregistrement,Non Seveso,
58501532,ALBERT LOIC,LA CHAUSSEE,,,85260,L HERBERGEMENT,Enregistrement,Non Seveso,
6600199,ALDEBERT Agnés,Le Marchand,,,11410,LA LOUVIERE LAURAGAIS,Enregistrement,Non Seveso,2022-02-18
57902275,Alexandre DURAND,10 - La Toutaire - Terves,BRESSUIRE,,79300,BRESSUIRE,Enregistrement,Non Seveso,
53500597,ALLAIN BERNARD,,Bois de Crannes,,35113,DOMAGNE,Enregistrement,Non Seveso,2015-09-10
55000366,ALLAIN (GAEC),La Maquillonnière,45 route des Landes,,50800,CHERENCE LE HERON,Enregistrement,Non Seveso,2022-12-13
55601850,ALLAIN Jean-Pierre,La Mariais,,,56430,MAURON,Autorisation,Non Seveso,
57600890,ALLEAUME Eric,,65 chemin des Macmonts,,76270,NESLE HODENG,Enregistrement,Non Seveso,
52201612,ALLEE ALAIN,LA VILLE DONNE,,,22270,JUGON LES LACS COMMUNE NOUVELLE,Enregistrement,Non Seveso,2022-04-12
54401709,ALLEMAND Didier,La Connetière,,,44190,ST LUMINE DE CLISSON,Enregistrement,Non Seveso,
52205740,ALLENO VICTOR,GUENBOURG,,,22320,ST MARTIN DES PRES,Enregistrement,Non Seveso,
54900981,ALLIANCE ÉLEVAGE (GAEC),Le Hamonay,JALLAIS (49510),,49600,BEAUPREAU EN MAUGES,Enregistrement,Non Seveso,
56500160,ALLIANCE OCCITANE,54 r Pyrénées,,,65420,IBOS,Enregistrement,Non Seveso,
55000752,ALLIET(GAEC),,LA GRANDE HULOTIERE,,50410,LA HAYE BELLEFOND,Enregistrement,Non Seveso,
51900483,ALLIOT PIERRE,FOUILLOUX,,,19190,SERILHAC,Autorisation,Non Seveso,
55603115,ALLIOUX MICHEL,KERBOURIS,LE PAS DU LOUP,,56500,REGUINY,Enregistrement,Non Seveso,
53400926,ALLUE ET MAEGHT (EARL),Route de CAZOULS,,,34490,MURVIEL LES BEZIERS,Enregistrement,Non Seveso,
55000254,ALMIN (EARL),,Les Ruettes- la Bazoge,,50520,JUVIGNY LES VALLEES,Enregistrement,Non Seveso,
54901269,ALPANY (GAEC),La Gohardière,,,49122,LE MAY SUR EVRE,Enregistrement,Non Seveso,
54901115,ALUSSE LEGENDRE (EARL) et BOVINE (EARL),Les Mats,,,49440,LOIRE,Autorisation,Non Seveso,2022-10-05
57200527,AMBROIS DIDIER,LE BOIS D ASSE,,,72290,CONGE SUR ORNE,Enregistrement,Non Seveso,
10004376,AMELOT Michel,Marché Renault,,,41250,BAUZY,Enregistrement,Non Seveso,
57700126,AMINECOV MEAUX (SARL),12 RUE DU VIDE ARPENT,,,77100,MEAUX,Autorisation,Non Seveso,2022-07-10
56700440,AMMANN JOSEPH,,26 RUE DU GAL LECLERC,,67670,MOMMENHEIM,Enregistrement,Non Seveso,2010-06-07
55900896,AMMEUX Philippe,25 ROUTE DE WATOU,,,59470,HOUTKERQUE,Autorisation,Non Seveso,
55614726,AMOROS ERIC,Plunian,,,56390,BRANDIVY,Enregistrement,Non Seveso,
55603442,AMOUROUX Martine,LA BARRE,,,56220,ST JACUT LES PINS,Enregistrement,Non Seveso,2022-04-26
57000752,ANCHOTTES (GAEC des),4 Route d'Hugier,,,70150,SORNAY,Autorisation,Non Seveso,
52203718,ANDRE FLORIAN ex JEAN YVES,KERLOUDA,,,22740,PLEUDANIEL,Enregistrement,Non Seveso,
52202571,ANDRE GHISLAINE,KERVOEZEL,,,22450,MANTALLOT,Enregistrement,Non Seveso,
52203843,ANDRE SYLVIE,MALABRY,,,22150,PLOEUC L HERMITAGE,Enregistrement,Non Seveso,
55901425,ANDRIES YVES,9 DREVE ANGLAISE,,,59122,REXPOEDE,Autorisation,Non Seveso,
53325052,ANIMALIA PARC,27 Pey Bruga,,,33990,NAUJAC SUR MER,Enregistrement,Non Seveso,
56200776,ANSART DUCROQUET CHARLES,19 RUE DE WANQUETIN - GOUY EN AR,TOIS,,62123,GOUY EN ARTOIS,Autorisation,Non Seveso,
52901144,ANSE DE KEROULLE EARL (Le Gall Stephane),Perros,,,29460,HANVEC,Enregistrement,Non Seveso,2017-03-09
55001690,ANTAIN (GAEC D'),,"8, rue des Croix - ST COME DU MONT",,50500,CARENTAN-LES-MARAIS,Enregistrement,Non Seveso,
51400255,ANTIGNAC (EARL D'),SOETAERT Thierry et Marie-Noëlle,FERME D'ANTIGNAC,,14290,CERNAY,Autorisation,Non Seveso,
51000016,ANTOINE Luc,5 Grande rue Berluvier,,,10160,BERULLE,Enregistrement,Non Seveso,
54000960,ARBOR FRANCE SAS,,5111 ROUTE DU LUGOS,,40460,SANGUINET,Enregistrement,Non Seveso,2019-03-14
54900512,ARGOS 2000 (SCEA),Les Brardaies,,,49500,CHAZE SUR ARGOS,Autorisation,Non Seveso,
5522464,AR LANN,LE RESTO,,,56500,MOREAC,Enregistrement,Non Seveso,
54901135,ARMANDIERE (GAEC DE L'),Toucharette,LE LONGERON (49710),,49450,SEVREMOINE,Enregistrement,Non Seveso,
54901679,ARMANDIERE (GAEC DE L'),L'Armandière,,,49740,LA ROMAGNE,Enregistrement,Non Seveso,
58100153,ARNAL JEAN-MARC,PELISSIER BAS,,,81300,LABESSIERE CANDEIL,Autorisation,Non Seveso,
58200173,ARNAUDET CHRISTOPHE,2561 RTE DE BORDE FREYCHE,,,82440,MIRABEL,Enregistrement,Non Seveso,
58504058,ARNAUD JACKY (Site de La Dodinière),LA DODINIERE,,,85250,CHAVAGNES EN PAILLERS,Autorisation,Non Seveso,
58500942,ARNAUD JACKY (site La Martelière),La Martelière,,,85250,CHAVAGNES EN PAILLERS,Autorisation,Non Seveso,
56401269,ARRIEULA JEAN BERNARD,,,,64450,NAVAILLES ANGOS,Enregistrement,Non Seveso,
56500017,ARRIEUMERLOU GENEVIEVE,,,,65200,ARGELES BAGNERES,Enregistrement,Non Seveso,
53200123,ARTERO Jean-Baptiste (ex STOPPANI JP),Aux trois vallons - ND,ND,,32160,BEAUMARCHES,Enregistrement,Non Seveso,
52900578,ARZUR SCEA,Goadec,,,29870,COAT MEAL,Enregistrement,Non Seveso,2013-08-27
5307402,ASSELINE (GAEC),6 Route Les Rosiers,,,50360,LA BONNEVILLE,Enregistrement,Non Seveso,
54100471,ASSELIN FRANCOIS,1 CHEMIN DU CHATEAU,,,41100,PEZOU,Enregistrement,Non Seveso,
58100456,ASSIE DOMINIQUE,LA CARAYRIE,,,81190,TANUS,Autorisation,Non Seveso,
52700094,ASSOCIATION LES AMIS DE LA CAMPAGNE,,prieuré notre dame des bois,,27400,CANAPPEVILLE,Enregistrement,Non Seveso,
100002321,A SUPPRIMER,LA LORIAIS,,,35560,BAZOUGES-LA-PEROUSE,Enregistrement,Non Seveso,
55000093,AUBERT DANIEL,,La Faitacherie,,50340,BENOITVILLE,Enregistrement,Non Seveso,
55302360,AUBERT JOEL,LA GASTE,,,53300,ST MARS SUR COLMONT,Autorisation,Non Seveso,
51502462,AUBIJOUX EDDY,LUZARGUE MOLEDES,,,15500,MOLEDES,Enregistrement,Non Seveso,
53503038,AUBIN HERVE,,L'HOMME,,35240,LE THEIL DE BRETAGNE,Enregistrement,Non Seveso,2015-03-26
55302601,AUBRY PASCAL,LE JONCHERAY,,,53360,SIMPLE,Autorisation,Non Seveso,
58700008,AUBURTIN FRANCOIS,La Vallade,,,87700,AIXE SUR VIENNE,Autorisation,Non Seveso,
54902753,AUDOIN François,La Boulaire,ST CHRISTOPHE LA COUPERIE,,49270,OREE D ANJOU,Enregistrement,Non Seveso,
53701080,AUDOIN Guillaume,La Coquetière,,,37360,SONZAY,Enregistrement,Non Seveso,2022-03-15
57902532,AUDURIER DOMINIQUE,Les Combes,,,79220,COURS,Enregistrement,Non Seveso,
55600028,AUGER Isabelle,La Marechalais,,,56350,ALLAIRE,Enregistrement,Non Seveso,
6307425,AUGIZEAU JEAN-LUC,1 LA BIROCHERE,,,85670,LA CHAPELLE PALLUAU,Autorisation,Non Seveso,
58501010,AUGUIN DOMINIQUE,LES PALEINES MAILLEZAIS,,,85390,CHEFFOIS,Autorisation,Non Seveso,
55000542,AUNAY (GAEC DE L'),,L'aunay,,50190,FEUGERES,Enregistrement,Non Seveso,2022-05-16
51401038,AUNAY PIHAN (GAEC DE L),LELIEVRE Denis CHESNEL Edouard - L'AUNAY,LENORMAND Chantal - ST GERMAIN DE TALLEVENDE,,14500,VIRE NORMANDIE,Enregistrement,Non Seveso,
54100313,AURBEC (EARL),LES BELLUETS,,,41110,MAREUIL SUR CHER,Enregistrement,Non Seveso,
52203452,Aurélien MOISAN,LE QUERCRON,,,22640,PLENEE JUGON,Enregistrement,Non Seveso,2022-06-09
52200555,AURELIE ROLLAND,LIEU DIT TOUL AR BLEY,,,22160,CARNOET,Autorisation,Non Seveso,2018-05-25
6810991,AURENSAN JULIE,PAYSSE,,,32290,SABAZAN,Autorisation,Non Seveso,
55000275,AUSSANT (SCEA),,La Maison Neuve,,50240,SAINT-JAMES,Enregistrement,Non Seveso,
3201033,AUTRAND AMANDINE,Quartier La Delille,,,26110,VINSOBRES,Enregistrement,Non Seveso,
52902555,AUTRET(EARL),KERGUSTOU,,,29420,PLOUENAN,Enregistrement,Non Seveso,2016-03-29
52902035,AUTRET Jean-Yves,550 MARROS COZIEN,,,29190,PLEYBEN,Enregistrement,Non Seveso,2017-06-07
52200083,AUTRET THIERRY,KERNIVINENN,,,22140,BEGARD,Enregistrement,Non Seveso,
54300198,AUVERGNAT,LA ROCHETTE,,,43100,CHANIAT,Enregistrement,Non Seveso,
50300756,AUVERGNE POUSSINS,17 ROUTE DES CHAUMES,,,3140,ST GERMAIN DE SALLES,Autorisation,Non Seveso,
5603042,AUVERGNE POUSSINS (ETROUSSAT),CUEILHAT,,,3140,ETROUSSAT,Enregistrement,Non Seveso,
52902760,AVEL GWALARN SCEA,280 LIEU DIT COATIBARS,Coatibars,,29260,PLOUIDER,Autorisation,Non Seveso,
6114090,AVENANT FLORENT,Quartiers les Blettiers,,,26120,MONTELIER,Enregistrement,Non Seveso,
55000538,AVENIR (EARL DE L'),,La Thébaudière - FERRIERES,,50640,LE TEILLEUL,Enregistrement,Non Seveso,
54901139,AVENIR (GAEC DE L'),La Lardière des Landes,LE LONGERON (49710),,49450,SEVREMOINE,Autorisation,Non Seveso,
54900355,AVIAGEN FRANCE (SAS),La Brosseterie,,,49123,CHAMPTOCE SUR LOIRE,Enregistrement,Non Seveso,
54902253,AVI-BIZ (EARL),La Bisière,TORFOU (49660),,49450,SEVREMOINE,Autorisation,Non Seveso,
54500263,AVICOLE DE LA GARENNE (SARL) BLANCHET B,La Garenne,,,45270,MOULON,Enregistrement,Non Seveso,
54500390,AVICOLE DE LA RIVIERE (EARL) CHAUVOT Syl,89 La Rivière,,,45490,SCEAUX DU GATINAIS,Enregistrement,Non Seveso,
54500148,AVICOLE DE L'ETANG SARL MM. SOURON,La Haute Folie,L'Étang,,45260,LA COUR MARIGNY,Autorisation,Non Seveso,
54500323,AVICOLE DU CHATEAU (SARL) DEVIN Eric,,Route de Courtempierre,,45490,PREFONTAINES,Autorisation,Non Seveso,
54500363,AVICOLE G2R,Courtefonds,,,45320,ST HILAIRE LES ANDRESIS,Autorisation,Non Seveso,
52600290,AVIFRUITS,900B Chemin de Halage,Les Beauches,,26800,ETOILE SUR RHONE,Autorisation,Non Seveso,
52800388,AVIGAL SAS,,lieu-dit le chemin aux anes,,28150,EOLE-EN-BEAUCE,Enregistrement,Non Seveso,
54300302,AVININ Gilles,Boisseuges,,,43450,ESPALEM,Enregistrement,Non Seveso,
54901667,AVIVRESNE (GAEC),La Vergne,LA RENAUDIERE,,49450,SEVREMOINE,Autorisation,Non Seveso,2022-02-02
54100832,AXIOM,LE COUDRAY,VILLEERMAIN,,41240,VILLERMAIN,Enregistrement,Non Seveso,
54100466,AXIOM,BIZY,,,41240,BEAUCE LA ROMAINE,Enregistrement,Non Seveso,2022-06-07
53700188,AXIOM,La Forêt,,,37160,LA CELLE ST AVANT,Enregistrement,Non Seveso,2017-06-30
53700055,AXIOM,La Garenne,,,37310,AZAY SUR INDRE,Enregistrement,Non Seveso,
56400106,AYCAGUER Pierre Léon,Maison Charcoa,Bourg,,64120,ARHANSUS,Enregistrement,Non Seveso,
3200101,AYMARD FLORIAN,Chemin de la Combe des Durons,,,26400,SOYANS,Autorisation,Non Seveso,2020-11-24
59700185,AZOR BERNADETTE,39 RUE CARRON LOUIS,BRAS PITON,,97431,LA PLAINE DES PALMISTES,Enregistrement,Non Seveso,
58503260,BABARIT GASTON,LA LOUISIERE - 15 RUE DES VERSENNES,ST MICHEL MONT MERCURE,,85700,SEVREMONT,Enregistrement,Non Seveso,
3900637,BACHELOT ANITA,LA POINTE DU NORD,rue  de la Libération,,76680,MAUCOMBLE,Enregistrement,Non Seveso,
55300360,BACHELOT JACKY (n° dos 1748),LA PETITE TOUFRAYERE,,,53240,LA BIGOTTIERE,Autorisation,Non Seveso,
56100567,BACLE YVES,LA REVAUDIERE,DANCE,,61340,PERCHE EN NOCE,Autorisation,Non Seveso,
53700178,BACON David,ROUTE DE MESLAND,,,37530,CANGEY,Enregistrement,Non Seveso,2021-12-13
51400579,BACONNIERE (GAEC DE LA),Patrick Valerie Charline Julien,LA BACONNIERE,,14380,LANDELLES ET COUPIGNY,Enregistrement,Non Seveso,
52203428,BAGOT ALEXANDRE,LES GRASSINS,,,22640,PLENEE JUGON,Enregistrement,Non Seveso,
52900383,BAIE (GAEC de la ),Goulit Cast,,,29150,CAST,Enregistrement,Non Seveso,2011-12-02
55002380,BAIE(GAEC DE LA),,Les Viviers,,50300,VAINS,Enregistrement,Non Seveso,
56200186,BAILLET VERMEESCH GUY,582 RUE VERTE,,,62810,BEAUFORT BLAVINCOURT,Autorisation,Non Seveso,
52203169,BALCOU ERWAN,ROHA,,,22290,PLEGUIEN,Autorisation,Non Seveso,
53600233,BALLEREAU ANNIE,Les Gerbauds,,,36140,MONTCHEVRIER,Enregistrement,Non Seveso,
59700225,BANOUBIE RENE,CHEMIN PATELIN,Cambuston,,97440,ST ANDRE,Autorisation,Non Seveso,
57201203,BARAIS JEAN PIERRE,LE PATIS,,,72360,MAYET,Enregistrement,Non Seveso,
53700572,BARANGER,LA GRANDE RUE,,,37320,LOUANS,Enregistrement,Non Seveso,
51401341,BARBERIE (GAEC DE LA),POREE Francis Nicole Jerome,LA PATARDIERE - TRUTTEMER LE GRAND,,14500,VIRE NORMANDIE,Enregistrement,Non Seveso,
55001145,BARBOT GERVAIS,,Le Bourdonnais,,50240,SAINT-JAMES,Enregistrement,Non Seveso,
55000429,BARBOT (SARL),,La Foresterie,,50670,COULOUVRAY BOISBENATRE,Enregistrement,Non Seveso,
52600391,BARD PIERRE,360 Chemin de la Combe,Les Béraudes,,26260,MARGES,Enregistrement,Non Seveso,
3105394,BARICAULT DANY,18 rue du Minage,Bagnault,,79800,EXOUDUN,Enregistrement,Non Seveso,
50301016,BARICHARD JEAN,LES QUATRES VENTS,,,3460,VILLENEUVE SUR ALLIER,Enregistrement,Non Seveso,
53600463,BARNIERS (GAEC),MIRAN,ICV 58,,36110,VINEUIL,Autorisation,Non Seveso,
52902525,BARON (GAEC),Le Guerrand,,,29620,PLOUEGAT GUERAND,Enregistrement,Non Seveso,2013-03-20
52203899,BARON JEAN PIERRE,LA COCHAIS,,,22130,PLOREC SUR ARGUENON,Enregistrement,Non Seveso,
57903057,BARON  Michel,La Grande Guinefolle,,,79700,ST PIERRE DES ECHAUBROGNES,Enregistrement,Non Seveso,
52203643,BARON SEBASTIEN,GRANDE RUE,,,22640,PLESTAN,Enregistrement,Non Seveso,2022-03-23
54902111,BAROT (EARL DE),Barot,LA SALLE ET CHAPELLE AUBRY,,49110,MONTREVAULT SUR EVRE,Enregistrement,Non Seveso,
58500931,BARRANGER MARTINE,5  LA BROSSETTE,,,85140,CHAUCHE,Autorisation,Non Seveso,
51201541,BARRAU CEDRIC,7 AVENUE JULES CABROL,,,12220,VAUREILLES,Enregistrement,Non Seveso,
6307043,BARREAU FRANCOIS,LA HAUTE FRESNAYE,,,85130,CHANVERRIE,Autorisation,Non Seveso,
52904180,BARRE Denis,Guenegant,,,29140,TOURCH,Enregistrement,Non Seveso,2015-11-18
55002871,BARRE (GAEC DE LA),,LA BARRE,,50150,SOURDEVAL VENGEONS,Enregistrement,Non Seveso,
51200225,BARRIE CHRISTOPHE,LES CAPELLES,,,12580,CAMPUAC,Enregistrement,Non Seveso,
51500115,BARRIOL  GILBERT,FRESCOLANGES,,,15230,CEZENS,Enregistrement,Non Seveso,
54401309,BARTHEAU Pierre,Tressé,,,44630,PLESSE,Enregistrement,Non Seveso,
6106367,BARTHOLIN HELENE,Bois Saint Polgues,,,42260,VEZELIN-SUR-LOIRE,Autorisation,Non Seveso,
6106566,BARTHOLIN PAUL (MR),Cruzolles,,,42990,ST GEORGES EN COUZAN,Enregistrement,Non Seveso,
55000248,BAS CASTILLON (GAEC DU),,4 Le Bas Castillon,,50750,CANISY,Enregistrement,Non Seveso,2022-03-07
55002929,BASFEUILLE (GAEC DE LA),1A Route de la Basfeuille,,,50700,YVETOT BOCAGE,Enregistrement,Non Seveso,2022-09-22
53500441,BASLE BENOIT,LIEU DIT CHEVILLARDIERE,LA CHEVILLARDIERE,,35370,BRIELLES,Enregistrement,Non Seveso,2017-11-28
54900061,BASSE COUR (GAEC),La Basse Cour,,,49420,ARMAILLE,Enregistrement,Non Seveso,
10100115,BASSET BRUNO,Montfollet,,,1270,VILLEMOTIER,Enregistrement,Non Seveso,
52500476,BASSIGNOT - MONNOT(GAEC),,·,,25510,GRANDFONTAINE SUR CREUSE,Autorisation,Non Seveso,
52500386,BASSIGNOT MONNOT(GAEC),,,,25390,FLANGEBOUCHE,Autorisation,Non Seveso,
52901024,BASTIEN (EARL),ROZ KERDELAND,,,29410,GUICLAN,Autorisation,Non Seveso,
58100337,BATIGNE CLAUDE,Palagal,,,81120,TERRE-DE-BANCALIE,Autorisation,Non Seveso,
54500512,BATTEUX SARL (BATTEUX Quentin),66 chemin de La Menaudière,,,45260,VIEILLES MAISONS SUR JOUDRY,Enregistrement,Non Seveso,
53502053,BAUDAIS NICOLAS,ROLLARD,ROLLARD,,35230,NOYAL CHATILLON SUR SEICHE,Enregistrement,Non Seveso,
52215312,BAUDET PAUL,LE PRE SIMON,,,22510,BREHAND,Enregistrement,Non Seveso,
52200953,BAUD JEAN PIERRE,LES LARGEAIS,LA FERRIERE,,22210,PLEMET,Enregistrement,Non Seveso,
58500224,BAUDON EDOUARD,LES BRUYERES,,,85500,BEAUREPAIRE,Autorisation,Non Seveso,
57902318,BAUDOUIN PHILIPPE,La Treuille,,,79230,BRULAIN,Enregistrement,Non Seveso,
54900799,BAUMARD (EARL),402 La Grande Forêt,LE FIEF SAUVIN (49600),,49110,MONTREVAULT SUR EVRE,Enregistrement,Non Seveso,
54902259,BAUMARD (EARL),La Morlière,TORFOU (49660),,49450,SEVREMOINE,Enregistrement,Non Seveso,
55000707,BAUQUIERE (GAEC DE LA),,La Bauquière,,50210,QUETTREVILLE SUR SIENNE,Enregistrement,Non Seveso,
52900465,BAUT (GAEC),KERYVON BOURG,,,29520,CHATEAUNEUF DU FAOU,Enregistrement,Non Seveso,2014-08-26
55001932,BAZANVILLE (GAEC),,VILLAGE BAZANVILLE,,50420,ST LOUET SUR VIRE,Enregistrement,Non Seveso,
55000744,BB (GAEC),,HOTEL RAULINE,,50570,HAUTEVILLE LA GUICHARD,Enregistrement,Non Seveso,
57902671,BEAUCHAMP FRANCK,Queue d'ageasse,,,79190,LORIGNE,Enregistrement,Non Seveso,2022-07-26
54900651,BEAUCHENE (GAEC DE),Beauchêne,LA CORNUAILLE (49370),,49440,VAL D'ERDRE-AUXENCE,Enregistrement,Non Seveso,
55001774,BEAU COCHON (EARL),,Le Bois Brulé,,50680,ST GEORGES D ELLE,Autorisation,Non Seveso,
53600314,BEAUDOIN PATRICE,MONTGENOUX,ICP 57,,36370,PRISSAC,Enregistrement,Non Seveso,
57201194,BEAUDOUIN FLORIAN (ex BEAUDOUIN JP),LA BIFFAUDIERE,,,72360,MAYET,Autorisation,Non Seveso,
5518911,BEAUDOUIN JEAN,LA RIMBERGERE,,,35320,LA COUYERE,Enregistrement,Non Seveso,
54902385,BEAUVAIS (EARL),Beauvais,,,49150,LE VIEIL BAUGE,Enregistrement,Non Seveso,
55000841,BEAUX LINGES (SCEA DES),Les Beaux Linges,CHALANDREY,,50540,CHALANDREY,Autorisation,Non Seveso,
51900589,BEAUX VALLONS GAEC DES,POUMEYROL,,,19310,YSSANDON,Autorisation,Non Seveso,
50800331,BECHECLOUX FRANCOIS,23 rue du 25 février 1944,.,,8310,MENIL ANNELLES,Autorisation,Non Seveso,
53502494,BEDFERT Sylvain,,VILLE CHAPELLE,,35850,ROMILLE,Enregistrement,Non Seveso,2016-09-20
55302098,BEDOUET SYLVIE,LA COURBE,,,53150,MONTSURS,Autorisation,Non Seveso,
54500356,BEETS Père et Fils  (GAEC),Les Trois Chapeaux,,,45220,ST GERMAIN DES PRES,Enregistrement,Non Seveso,
55901675,BEGHIN MICHEL,R   DU KIRLEM,,,59181,STEENWERCK,Autorisation,Non Seveso,
55302449,BELAIR MYRIAM,CHAMPIZAMBARD,,,53500,ST PIERRE DES LANDES,Autorisation,Non Seveso,
58500079,BELAUD MICHEL,PIED GAILLARD,,,85120,ANTIGNY,Autorisation,Non Seveso,
54400613,BELAY Mickaël,Launay,,,44520,GRAND AUVERNE,Autorisation,Non Seveso,2012-12-18
52900739,BELBEOCH Hervé,KERANNA,,,29100,TREBOUL,Enregistrement,Non Seveso,2013-10-02
51100110,BELFORT (EARL DE),,Belfort,,11420,MOLANDIER,Enregistrement,Non Seveso,
55002598,BELHACHE CLAUDE,,9 la Perelle,,50690,COUVILLE,Autorisation,Non Seveso,
58500932,BELIN FLORENT,LA BOUTARLIERE,,,85140,CHAUCHE,Autorisation,Non Seveso,
53200274,BELIN MARCEL,Les Mariées,,,32500,CERAN,Enregistrement,Non Seveso,
