Numéro d'inspection,Nom établissement,Adresse 1,Adresse 2,Adresse 3,Code postal,Commune,Régime en vigueur,Statut SEVESO,Date de dernière inspection
55603426,SARL PEMOC'H JOUANNIC,LD LA VILLE ORTIER,,,56460,SAINT-GUYOMARD,Autorisation,Non Seveso,2022-05-10
52901386,SARL PEN MEO,Pen Méo,,,29510,LANGOLEN,Enregistrement,Non Seveso,2016-07-13
52204256,SARL PERENNES CEREALES,LA BOISSIERE,,,22200,PLOUISY,Enregistrement,Non Seveso,
54200641,SARL PERRIN LAURENT,,GRAND RIS,,42111,ST DIDIER SUR ROCHEFORT,Autorisation,Non Seveso,
53501699,SARL PESCHARD ELEVAGE,,LA NOE DE BRAMBEAC,,35330,VAL D'ANAST,Autorisation,Non Seveso,2022-02-21
52204892,SARL PEUPLIER,KERNIVINEN,,,22140,PRAT,Enregistrement,Non Seveso,
5522620,SARL PIG BREIZH,Talara,,,56420,PLAUDREN,Enregistrement,Non Seveso,
53500521,SARL PLESSIPOR,,LE HAUT PLESSIS,,35520,LA CHAPELLE DES FOUGERETZ,Enregistrement,Non Seveso,2017-10-18
52200276,SARL PMB,LES PORTES MONVOISIN,,,22510,BREHAND,Autorisation,Non Seveso,2022-10-06
3301641,SARL PML,Lieu-dit le bois défendu,,,21250,MONTMAIN,Enregistrement,Non Seveso,
58100134,SARL PORC AGOUT,,ROQUEVILLE,,81500,GIROUSSENS,Autorisation,Non Seveso,
55603658,SARL PORC DE KERSTRAT,Kerstrat,,,56160,SEGLIEN,Enregistrement,Non Seveso,
56400688,SARL PORCINE DU VIC-BILH,"4, chemin de Jammet",,,64330,GARLIN,Enregistrement,Non Seveso,
50200827,SARL PORCY FATY,GAEC HERBERT,9 rue du Maréchal Leclerc,,2120,WIEGE FATY,Autorisation,Non Seveso,
52200924,SARL POR LINON,LA CHAPELLE,,,22630,EVRAN,Enregistrement,Non Seveso,
55100088,SARL POROEUF,,Chemin du Moulin,,51240,CHEPY,Autorisation,Non Seveso,
58100081,SARL POUX,L'HERM,,,81150,CASTANET,Autorisation,Non Seveso,
55603417,SARL PROVOST,LE HAUT PERCHE,,,56220,ST GRAVE,Autorisation,Non Seveso,2022-09-06
5520714,SARL PROVOST MARYVONNE,LA LONGUERAIE,,,22430,ERQUY,Enregistrement,Non Seveso,
53100198,SARL RIGAL Frères,Lieu dit Pailhas Larouset,,,31220,LAVELANET DE COMMINGES,Enregistrement,Non Seveso,2022-12-08
52202036,SARL ROLLAND,KERVERDER,,,22300,LANNION,Autorisation,Non Seveso,
52206257,SARL ROMAIN DURAND ex SARL ALCIE,LA NOE FONTAINE,,,22250,TREDIAS,Enregistrement,Non Seveso,2022-05-19
56700054,SARL ROTHAN,,5 Rue des Haies,,67170,BERSTHEIM,Enregistrement,Non Seveso,2016-05-23
58000764,SARL ROUSSEL OLIVIER,,"35, rue du Haut",,80135,MILLENCOURT EN PONTHIEU,Autorisation,Non Seveso,
52902214,SARL RUN ASKELL,KERIVOAL,,,29550,PLOMODIERN,Autorisation,Non Seveso,
55901142,SARL SAINT CHARLES,1 RUE DES POLDERS,LES MOERES,,59254,GHYVELDE,Autorisation,Non Seveso,
