"Code Commune", "Libellé commune", "Degré de Densité", "Population municipale 2018"
01228, Maillat, 3, 660
01229, Malafretaz, 3, 1235
01230, Mantenay-Montlin, 3, 312
01231, Manziat, 3, 1948
01232, Marboz, 3, 2276
01233, Marchamp, 4, 130
01234, Marignieu, 4, 169
01235, Marlieux, 3, 1159
01236, Marsonnas, 3, 1011
01237, Martignat, 3, 1667
01238, Massieux, 2, 2670
01239, Massignieu-de-Rives, 3, 620
01240, Matafelon-Granges, 4, 627
01241, Meillonnas, 3, 1356
01242, Mérignat, 4, 135
01243, Messimy-sur-Saône, 3, 1253
01244, Meximieux, 2, 7923
01245, Bohas-Meyriat-Rignat, 3, 943
01246, Mézériat, 3, 2217
01247, Mijoux, 4, 312
01248, Mionnay, 3, 2197
01249, Miribel, 2, 10122
01250, Misérieux, 2, 1974
01252, Mogneneins, 3, 786
01254, Montagnat, 3, 2116
01255, Montagnieu, 3, 647
01257, Montanges, 4, 351
01258, Montceaux, 3, 1190
01259, Montcet, 3, 702
01260, Le Montellier, 4, 302
01261, Monthieux, 3, 668
01262, Montluel, 2, 6886
01263, Montmerle-sur-Saône, 2, 3772
01264, Montracol, 3, 1016
01265, Montréal-la-Cluse, 2, 3456
01266, Montrevel-en-Bresse, 3, 2576
01267, Nurieux-Volognat, 3, 1025
01268, Murs-et-Gélignieux, 3, 246
01269, Nantua, 3, 3454
01272, Neuville-les-Dames, 3, 1500
01273, Neuville-sur-Ain, 3, 1800
01274, Les Neyrolles, 3, 645
01275, Neyron, 2, 2569
01276, Niévroz, 3, 1624
01277, Nivollet-Montgriffon, 4, 117
01279, Oncieu, 4, 80
01280, Ordonnaz, 4, 138
01281, Ornex, 2, 4483
01282, Outriaz, 3, 258
01283, Oyonnax, 2, 22456
01284, Ozan, 3, 694
01285, Parcieux, 2, 1229
01286, Parves et Nattages, 3, 951
01288, Péron, 3, 2717
01289, Péronnas, 2, 6520
01290, Pérouges, 3, 1273
01291, Perrex, 3, 842
01293, Peyriat, 4, 148
01294, Peyrieu, 3, 886
01295, Peyzieux-sur-Saône, 3, 686
01296, Pirajoux, 3, 420
01297, Pizay, 3, 867
01298, Plagne, 4, 150
01299, Le Plantay, 3, 584
01301, Polliat, 3, 2547
01302, Pollieu, 4, 163
01303, Poncin, 3, 1699
01304, Pont-d'Ain, 3, 2924
01305, Pont-de-Vaux, 3, 2213
01306, Pont-de-Veyle, 3, 1641
01307, Port, 2, 836
01308, Pougny, 3, 807
01309, Pouillat, 4, 85
01310, Prémeyzel, 4, 251
01311, Prémillieu, 4, 44
01313, Prévessin-Moëns, 2, 8711
01314, Priay, 3, 1729
01317, Ramasse, 3, 330
01318, Rancé, 3, 726
01319, Relevant, 3, 466
01320, Replonges, 3, 3791
01321, Revonnas, 3, 888
01322, Reyrieux, 2, 4984
01323, Reyssouze, 3, 989
01325, Rignieux-le-Franc, 3, 1032
01328, Romans, 4, 597
01329, Rossillon, 4, 153
01330, Ruffieu, 4, 182
01331, Saint-Alban, 4, 187
